"Time (CET/CEST)","BZN|AT > BZN|DE-LU Day Ahead [MW]","BZN|AT > BZN|DE-LU Total [MW]","BZN|DE-LU > BZN|AT Day Ahead [MW]","BZN|DE-LU > BZN|AT Total [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","0","4940","4878"
"01.01.2019 01:00 - 01.01.2019 02:00","0","0","5073","5013"
"01.01.2019 02:00 - 01.01.2019 03:00","0","0","4284","4264"
"01.01.2019 03:00 - 01.01.2019 04:00","0","0","4273","4270"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0","4961","4961"
"01.01.2019 05:00 - 01.01.2019 06:00","0","0","4984","4984"
"01.01.2019 06:00 - 01.01.2019 07:00","0","0","4819","4817"
"01.01.2019 07:00 - 01.01.2019 08:00","0","0","4751","4751"
"01.01.2019 08:00 - 01.01.2019 09:00","0","0","4676","4674"
"01.01.2019 09:00 - 01.01.2019 10:00","0","0","5170","5170"
"01.01.2019 10:00 - 01.01.2019 11:00","0","0","5513","5513"
"01.01.2019 11:00 - 01.01.2019 12:00","0","0","5590","5590"
"01.01.2019 12:00 - 01.01.2019 13:00","0","0","5506","5494"
"01.01.2019 13:00 - 01.01.2019 14:00","0","0","5126","5126"
"01.01.2019 14:00 - 01.01.2019 15:00","0","0","4930","4928"
"01.01.2019 15:00 - 01.01.2019 16:00","0","0","4813","4802"
"01.01.2019 16:00 - 01.01.2019 17:00","0","0","4807","4791"
"01.01.2019 17:00 - 01.01.2019 18:00","0","0","4354","4321"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0","4381","4365"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0","4296","4293"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0","4090","4090"
"01.01.2019 21:00 - 01.01.2019 22:00","0","0","4304","4098"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0","4299","4299"
"01.01.2019 23:00 - 02.01.2019 00:00","0","0","3917","3917"
"02.01.2019 00:00 - 02.01.2019 01:00","0","0","3513","3437"
"02.01.2019 01:00 - 02.01.2019 02:00","0","0","3493","3344"
"02.01.2019 02:00 - 02.01.2019 03:00","0","0","3510","3443"
"02.01.2019 03:00 - 02.01.2019 04:00","0","0","3489","3458"
"02.01.2019 04:00 - 02.01.2019 05:00","0","0","3484","3482"
"02.01.2019 05:00 - 02.01.2019 06:00","0","0","3474","3473"
"02.01.2019 06:00 - 02.01.2019 07:00","0","0","3920","3834"
"02.01.2019 07:00 - 02.01.2019 08:00","0","0","3743","3646"
"02.01.2019 08:00 - 02.01.2019 09:00","0","0","2516","2382"
"02.01.2019 09:00 - 02.01.2019 10:00","0","0","2841","2688"
"02.01.2019 10:00 - 02.01.2019 11:00","0","0","3083","2900"
"02.01.2019 11:00 - 02.01.2019 12:00","0","0","3244","3211"
"02.01.2019 12:00 - 02.01.2019 13:00","0","0","3350","3319"
"02.01.2019 13:00 - 02.01.2019 14:00","0","0","2967","2947"
"02.01.2019 14:00 - 02.01.2019 15:00","0","0","2934","2832"
"02.01.2019 15:00 - 02.01.2019 16:00","0","0","2560","2537"
"02.01.2019 16:00 - 02.01.2019 17:00","0","0","2697","2687"
"02.01.2019 17:00 - 02.01.2019 18:00","0","0","2573","2558"
"02.01.2019 18:00 - 02.01.2019 19:00","0","0","2384","2370"
"02.01.2019 19:00 - 02.01.2019 20:00","0","0","2112","2108"
"02.01.2019 20:00 - 02.01.2019 21:00","0","0","1926","1916"
"02.01.2019 21:00 - 02.01.2019 22:00","0","0","2008","1987"
"02.01.2019 22:00 - 02.01.2019 23:00","0","0","2041","2030"
"02.01.2019 23:00 - 03.01.2019 00:00","0","0","1802","1802"
"03.01.2019 00:00 - 03.01.2019 01:00","0","0","2240","2240"
"03.01.2019 01:00 - 03.01.2019 02:00","0","0","1330","1330"
"03.01.2019 02:00 - 03.01.2019 03:00","0","0","987","987"
"03.01.2019 03:00 - 03.01.2019 04:00","0","0","651","651"
"03.01.2019 04:00 - 03.01.2019 05:00","0","0","939","939"
"03.01.2019 05:00 - 03.01.2019 06:00","0","0","1701","1701"
"03.01.2019 06:00 - 03.01.2019 07:00","0","0","1613","1570"
"03.01.2019 07:00 - 03.01.2019 08:00","0","0","1192","1192"
"03.01.2019 08:00 - 03.01.2019 09:00","0","0","1130","1129"
"03.01.2019 09:00 - 03.01.2019 10:00","0","0","2530","2636"
"03.01.2019 10:00 - 03.01.2019 11:00","0","0","2646","2646"
"03.01.2019 11:00 - 03.01.2019 12:00","0","0","1910","1910"
"03.01.2019 12:00 - 03.01.2019 13:00","0","164","2000","1200"
"03.01.2019 13:00 - 03.01.2019 14:00","0","581","1596","958"
"03.01.2019 14:00 - 03.01.2019 15:00","0","0","1540","1341"
"03.01.2019 15:00 - 03.01.2019 16:00","0","0","803","787"
"03.01.2019 16:00 - 03.01.2019 17:00","0","0","629","538"
"03.01.2019 17:00 - 03.01.2019 18:00","0","21","0","0"
"03.01.2019 18:00 - 03.01.2019 19:00","0","0","740","740"
"03.01.2019 19:00 - 03.01.2019 20:00","0","0","614","629"
"03.01.2019 20:00 - 03.01.2019 21:00","0","0","1064","1214"
"03.01.2019 21:00 - 03.01.2019 22:00","0","0","1689","1771"
"03.01.2019 22:00 - 03.01.2019 23:00","0","0","1758","1758"
"03.01.2019 23:00 - 04.01.2019 00:00","0","0","1041","1350"
"04.01.2019 00:00 - 04.01.2019 01:00","0","0","1571","1545"
"04.01.2019 01:00 - 04.01.2019 02:00","0","0","1251","1251"
"04.01.2019 02:00 - 04.01.2019 03:00","0","0","1256","1256"
"04.01.2019 03:00 - 04.01.2019 04:00","0","0","1276","1276"
"04.01.2019 04:00 - 04.01.2019 05:00","0","0","2128","2012"
"04.01.2019 05:00 - 04.01.2019 06:00","0","0","1797","1965"
"04.01.2019 06:00 - 04.01.2019 07:00","0","0","2144","2432"
"04.01.2019 07:00 - 04.01.2019 08:00","0","0","2533","2601"
"04.01.2019 08:00 - 04.01.2019 09:00","0","0","2929","2951"
"04.01.2019 09:00 - 04.01.2019 10:00","0","0","3131","3189"
"04.01.2019 10:00 - 04.01.2019 11:00","0","0","3333","3308"
"04.01.2019 11:00 - 04.01.2019 12:00","0","0","3514","3408"
"04.01.2019 12:00 - 04.01.2019 13:00","0","0","3514","3514"
"04.01.2019 13:00 - 04.01.2019 14:00","0","0","3680","3680"
"04.01.2019 14:00 - 04.01.2019 15:00","0","0","4144","4144"
"04.01.2019 15:00 - 04.01.2019 16:00","0","0","4184","4178"
"04.01.2019 16:00 - 04.01.2019 17:00","0","0","4470","4462"
"04.01.2019 17:00 - 04.01.2019 18:00","0","0","4737","4711"
"04.01.2019 18:00 - 04.01.2019 19:00","0","0","4527","4314"
"04.01.2019 19:00 - 04.01.2019 20:00","0","0","4219","4046"
"04.01.2019 20:00 - 04.01.2019 21:00","0","0","4000","3955"
"04.01.2019 21:00 - 04.01.2019 22:00","0","0","3557","3414"
"04.01.2019 22:00 - 04.01.2019 23:00","0","0","4511","4511"
"04.01.2019 23:00 - 05.01.2019 00:00","0","0","4524","4034"
"05.01.2019 00:00 - 05.01.2019 01:00","0","0","4093","4084"
"05.01.2019 01:00 - 05.01.2019 02:00","0","0","3987","3958"
"05.01.2019 02:00 - 05.01.2019 03:00","0","0","3577","3576"
"05.01.2019 03:00 - 05.01.2019 04:00","0","0","3480","3472"
"05.01.2019 04:00 - 05.01.2019 05:00","0","0","3630","3627"
"05.01.2019 05:00 - 05.01.2019 06:00","0","0","3301","3300"
"05.01.2019 06:00 - 05.01.2019 07:00","0","0","3190","3189"
"05.01.2019 07:00 - 05.01.2019 08:00","0","0","3529","3519"
"05.01.2019 08:00 - 05.01.2019 09:00","0","0","3764","3756"
"05.01.2019 09:00 - 05.01.2019 10:00","0","0","3920","3918"
"05.01.2019 10:00 - 05.01.2019 11:00","0","0","4203","4201"
"05.01.2019 11:00 - 05.01.2019 12:00","0","0","4024","4023"
"05.01.2019 12:00 - 05.01.2019 13:00","0","0","3809","3909"
"05.01.2019 13:00 - 05.01.2019 14:00","0","0","3727","3827"
"05.01.2019 14:00 - 05.01.2019 15:00","0","0","3553","3703"
"05.01.2019 15:00 - 05.01.2019 16:00","0","0","3619","3699"
"05.01.2019 16:00 - 05.01.2019 17:00","0","0","3813","3895"
"05.01.2019 17:00 - 05.01.2019 18:00","0","0","3830","3851"
"05.01.2019 18:00 - 05.01.2019 19:00","0","0","3553","3634"
"05.01.2019 19:00 - 05.01.2019 20:00","0","0","3260","3260"
"05.01.2019 20:00 - 05.01.2019 21:00","0","0","3183","3473"
"05.01.2019 21:00 - 05.01.2019 22:00","0","0","2804","3052"
"05.01.2019 22:00 - 05.01.2019 23:00","0","0","3018","3338"
"05.01.2019 23:00 - 06.01.2019 00:00","0","0","2404","2404"
"06.01.2019 00:00 - 06.01.2019 01:00","0","0","2008","2434"
"06.01.2019 01:00 - 06.01.2019 02:00","0","0","2606","2606"
"06.01.2019 02:00 - 06.01.2019 03:00","0","0","2392","2660"
"06.01.2019 03:00 - 06.01.2019 04:00","0","0","2127","2448"
"06.01.2019 04:00 - 06.01.2019 05:00","0","0","1984","1984"
"06.01.2019 05:00 - 06.01.2019 06:00","0","0","2446","2752"
"06.01.2019 06:00 - 06.01.2019 07:00","0","0","2243","2893"
"06.01.2019 07:00 - 06.01.2019 08:00","0","0","2096","2687"
"06.01.2019 08:00 - 06.01.2019 09:00","0","0","2830","2794"
"06.01.2019 09:00 - 06.01.2019 10:00","0","0","3096","3318"
"06.01.2019 10:00 - 06.01.2019 11:00","0","0","3127","3225"
"06.01.2019 11:00 - 06.01.2019 12:00","0","0","2735","2770"
"06.01.2019 12:00 - 06.01.2019 13:00","0","0","2557","2661"
"06.01.2019 13:00 - 06.01.2019 14:00","0","0","2149","2308"
"06.01.2019 14:00 - 06.01.2019 15:00","0","0","2667","2713"
"06.01.2019 15:00 - 06.01.2019 16:00","0","0","2617","2854"
"06.01.2019 16:00 - 06.01.2019 17:00","0","0","2966","3252"
"06.01.2019 17:00 - 06.01.2019 18:00","0","0","3080","3284"
"06.01.2019 18:00 - 06.01.2019 19:00","0","0","2507","2782"
