"Time (CET/CEST)","BZN|CZ > BZN|DE-LU Day Ahead [MW]","BZN|CZ > BZN|DE-LU Total [MW]","BZN|DE-LU > BZN|CZ Day Ahead [MW]","BZN|DE-LU > BZN|CZ Total [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","1076","1276","569","839"
"01.01.2019 01:00 - 01.01.2019 02:00","514","714","694","957"
"01.01.2019 02:00 - 01.01.2019 03:00","0","200","685","910"
"01.01.2019 03:00 - 01.01.2019 04:00","111","111","1186","1211"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0","1122","1137"
"01.01.2019 05:00 - 01.01.2019 06:00","0","0","1100","1100"
"01.01.2019 06:00 - 01.01.2019 07:00","0","0","1000","1000"
"01.01.2019 07:00 - 01.01.2019 08:00","0","0","800","800"
"01.01.2019 08:00 - 01.01.2019 09:00","0","30","800","800"
"01.01.2019 09:00 - 01.01.2019 10:00","0","30","600","600"
"01.01.2019 10:00 - 01.01.2019 11:00","0","30","600","600"
"01.01.2019 11:00 - 01.01.2019 12:00","0","30","900","900"
"01.01.2019 12:00 - 01.01.2019 13:00","0","5","800","800"
"01.01.2019 13:00 - 01.01.2019 14:00","0","5","1000","1000"
"01.01.2019 14:00 - 01.01.2019 15:00","0","5","900","900"
"01.01.2019 15:00 - 01.01.2019 16:00","0","5","1278","1278"
"01.01.2019 16:00 - 01.01.2019 17:00","0","60","1500","1500"
"01.01.2019 17:00 - 01.01.2019 18:00","0","50","1402","1402"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0","1200","1200"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0","900","900"
"01.01.2019 20:00 - 01.01.2019 21:00","0","10","900","900"
"01.01.2019 21:00 - 01.01.2019 22:00","0","10","900","900"
"01.01.2019 22:00 - 01.01.2019 23:00","0","50","900","900"
"01.01.2019 23:00 - 02.01.2019 00:00","0","10","1000","1000"
"02.01.2019 00:00 - 02.01.2019 01:00","670","885","1000","1674"
"02.01.2019 01:00 - 02.01.2019 02:00","672","717","1200","1872"
"02.01.2019 02:00 - 02.01.2019 03:00","670","680","1320","2280"
"02.01.2019 03:00 - 02.01.2019 04:00","844","914","1419","2246"
"02.01.2019 04:00 - 02.01.2019 05:00","816","1091","1564","1931"
"02.01.2019 05:00 - 02.01.2019 06:00","670","800","1233","1804"
