"Time (CET/CEST)","BZN|DK2 > BZN|DE-LU Day Ahead [MW]","BZN|DK2 > BZN|DE-LU Total [MW]","BZN|DE-LU > BZN|DK2 Day Ahead [MW]","BZN|DE-LU > BZN|DK2 Total [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","167","422","0","65"
"01.01.2019 01:00 - 01.01.2019 02:00","0","511","0","3"
"01.01.2019 02:00 - 01.01.2019 03:00","0","417","329","370"
"01.01.2019 03:00 - 01.01.2019 04:00","0","367","448","487"
"01.01.2019 04:00 - 01.01.2019 05:00","0","277","441","441"
"01.01.2019 05:00 - 01.01.2019 06:00","0","273","515","515"
"01.01.2019 06:00 - 01.01.2019 07:00","0","370","600","600"
"01.01.2019 07:00 - 01.01.2019 08:00","0","249","600","600"
"01.01.2019 08:00 - 01.01.2019 09:00","0","143","517","517"
"01.01.2019 09:00 - 01.01.2019 10:00","0","221","600","608"
"01.01.2019 10:00 - 01.01.2019 11:00","0","254","600","615"
"01.01.2019 11:00 - 01.01.2019 12:00","0","207","518","519"
"01.01.2019 12:00 - 01.01.2019 13:00","0","438","600","606"
"01.01.2019 13:00 - 01.01.2019 14:00","0","166","600","604"
"01.01.2019 14:00 - 01.01.2019 15:00","0","179","600","637"
"01.01.2019 15:00 - 01.01.2019 16:00","0","278","600","629"
"01.01.2019 16:00 - 01.01.2019 17:00","0","292","600","600"
"01.01.2019 17:00 - 01.01.2019 18:00","0","192","600","604"
"01.01.2019 18:00 - 01.01.2019 19:00","0","260","600","626"
"01.01.2019 19:00 - 01.01.2019 20:00","0","366","600","635"
"01.01.2019 20:00 - 01.01.2019 21:00","0","440","600","621"
"01.01.2019 21:00 - 01.01.2019 22:00","0","127","600","712"
"01.01.2019 22:00 - 01.01.2019 23:00","0","255","509","551"
"01.01.2019 23:00 - 02.01.2019 00:00","0","298","600","618"
"02.01.2019 00:00 - 02.01.2019 01:00","0","425","600","600"
"02.01.2019 01:00 - 02.01.2019 02:00","0","346","600","652"
"02.01.2019 02:00 - 02.01.2019 03:00","0","412","600","724"
"02.01.2019 03:00 - 02.01.2019 04:00","0","231","600","816"
"02.01.2019 04:00 - 02.01.2019 05:00","0","150","600","735"
"02.01.2019 05:00 - 02.01.2019 06:00","0","185","600","653"
"02.01.2019 06:00 - 02.01.2019 07:00","0","406","600","600"
"02.01.2019 07:00 - 02.01.2019 08:00","0","96","600","625"
"02.01.2019 08:00 - 02.01.2019 09:00","0","49","600","634"
"02.01.2019 09:00 - 02.01.2019 10:00","0","156","600","741"
"02.01.2019 10:00 - 02.01.2019 11:00","0","157","600","634"
"02.01.2019 11:00 - 02.01.2019 12:00","0","14","600","600"
