"Time (CET/CEST)","BZN|FR > BZN|DE-LU Day Ahead [MW]","BZN|FR > BZN|DE-LU Total [MW]","BZN|DE-LU > BZN|FR Day Ahead [MW]","BZN|DE-LU > BZN|FR Total [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","0","3860","3860"
"01.01.2019 01:00 - 01.01.2019 02:00","0","0","3244","3244"
"01.01.2019 02:00 - 01.01.2019 03:00","0","0","3526","3642"
"01.01.2019 03:00 - 01.01.2019 04:00","0","0","3037","3083"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0","3127","3130"
"01.01.2019 05:00 - 01.01.2019 06:00","0","0","4060","4060"
"01.01.2019 06:00 - 01.01.2019 07:00","0","0","4641","4641"
"01.01.2019 07:00 - 01.01.2019 08:00","0","0","6031","6031"
"01.01.2019 08:00 - 01.01.2019 09:00","0","0","6114","6114"
"01.01.2019 09:00 - 01.01.2019 10:00","0","0","5144","5144"
"01.01.2019 10:00 - 01.01.2019 11:00","0","0","4954","4954"
"01.01.2019 11:00 - 01.01.2019 12:00","0","0","5032","5032"
"01.01.2019 12:00 - 01.01.2019 13:00","0","0","4681","4681"
"01.01.2019 13:00 - 01.01.2019 14:00","0","0","4578","4578"
"01.01.2019 14:00 - 01.01.2019 15:00","0","0","5015","5015"
"01.01.2019 15:00 - 01.01.2019 16:00","0","0","5431","5431"
"01.01.2019 16:00 - 01.01.2019 17:00","0","0","5595","5595"
"01.01.2019 17:00 - 01.01.2019 18:00","0","0","4911","4911"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0","3607","3607"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0","3485","3485"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0","4033","4033"
"01.01.2019 21:00 - 01.01.2019 22:00","0","0","3240","3240"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0","3459","3459"
"01.01.2019 23:00 - 02.01.2019 00:00","0","0","3413","3413"
"02.01.2019 00:00 - 02.01.2019 01:00","0","0","3458","3458"
"02.01.2019 01:00 - 02.01.2019 02:00","0","0","3568","3568"
"02.01.2019 02:00 - 02.01.2019 03:00","0","0","3320","3320"
"02.01.2019 03:00 - 02.01.2019 04:00","0","0","3440","3440"
"02.01.2019 04:00 - 02.01.2019 05:00","0","0","3457","3457"
"02.01.2019 05:00 - 02.01.2019 06:00","0","0","3822","3822"
"02.01.2019 06:00 - 02.01.2019 07:00","0","0","3433","3433"
"02.01.2019 07:00 - 02.01.2019 08:00","0","0","2876","2866"
"02.01.2019 08:00 - 02.01.2019 09:00","0","0","3013","3013"
"02.01.2019 09:00 - 02.01.2019 10:00","0","0","3027","3027"
"02.01.2019 10:00 - 02.01.2019 11:00","0","0","2794","2794"
"02.01.2019 11:00 - 02.01.2019 12:00","0","0","2807","2807"
"02.01.2019 12:00 - 02.01.2019 13:00","0","0","2436","2471"
"02.01.2019 13:00 - 02.01.2019 14:00","0","0","2885","2885"
"02.01.2019 14:00 - 02.01.2019 15:00","0","0","3046","3046"
"02.01.2019 15:00 - 02.01.2019 16:00","0","0","3479","2573"
"02.01.2019 16:00 - 02.01.2019 17:00","0","0","3334","3059"
"02.01.2019 17:00 - 02.01.2019 18:00","0","0","1825","1825"
"02.01.2019 18:00 - 02.01.2019 19:00","0","0","3790","3440"
"02.01.2019 19:00 - 02.01.2019 20:00","0","0","4962","4162"
"02.01.2019 20:00 - 02.01.2019 21:00","0","0","5057","4888"
"02.01.2019 21:00 - 02.01.2019 22:00","0","0","3867","3548"
"02.01.2019 22:00 - 02.01.2019 23:00","0","0","6098","6074"
"02.01.2019 23:00 - 03.01.2019 00:00","0","0","5481","5156"
"03.01.2019 00:00 - 03.01.2019 01:00","0","0","4883","4541"
"03.01.2019 01:00 - 03.01.2019 02:00","0","0","6824","6402"
"03.01.2019 02:00 - 03.01.2019 03:00","0","0","6357","6452"
"03.01.2019 03:00 - 03.01.2019 04:00","0","0","3430","3931"
"03.01.2019 04:00 - 03.01.2019 05:00","0","0","2838","3259"
"03.01.2019 05:00 - 03.01.2019 06:00","0","0","4019","4419"
"03.01.2019 06:00 - 03.01.2019 07:00","0","0","5237","5267"
"03.01.2019 07:00 - 03.01.2019 08:00","0","0","4188","4188"
"03.01.2019 08:00 - 03.01.2019 09:00","0","0","5972","5972"
"03.01.2019 09:00 - 03.01.2019 10:00","0","0","4457","4487"
"03.01.2019 10:00 - 03.01.2019 11:00","0","0","5524","5524"
"03.01.2019 11:00 - 03.01.2019 12:00","0","0","7322","7322"
