"Time (CET/CEST)","BZN|NL > BZN|DE-LU Day Ahead [MW]","BZN|NL > BZN|DE-LU Total [MW]","BZN|DE-LU > BZN|NL Day Ahead [MW]","BZN|DE-LU > BZN|NL Total [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","0","121","50","290"
"01.01.2020 01:00 - 01.01.2020 02:00","0","0","52","593"
"01.01.2020 02:00 - 01.01.2020 03:00","0","0","53","771"
"01.01.2020 03:00 - 01.01.2020 04:00","227","227","0","1090"
"01.01.2020 04:00 - 01.01.2020 05:00","255","255","0","786"
"01.01.2020 05:00 - 01.01.2020 06:00","83","83","0","1124"
"01.01.2020 06:00 - 01.01.2020 07:00","0","0","4","1575"
"01.01.2020 07:00 - 01.01.2020 08:00","0","0","294","1989"
"01.01.2020 08:00 - 01.01.2020 09:00","0","0","1069","2279"
"01.01.2020 09:00 - 01.01.2020 10:00","0","0","1378","2353"
"01.01.2020 10:00 - 01.01.2020 11:00","0","0","1527","2112"
"01.01.2020 11:00 - 01.01.2020 12:00","0","0","1547","2278"
"01.01.2020 12:00 - 01.01.2020 13:00","0","165","1609","2374"
"01.01.2020 13:00 - 01.01.2020 14:00","0","229","1457","2563"
"01.01.2020 14:00 - 01.01.2020 15:00","0","87","979","2285"
"01.01.2020 15:00 - 01.01.2020 16:00","243","243","0","1925"
"01.01.2020 16:00 - 01.01.2020 17:00","1172","1172","0","1958"
"01.01.2020 17:00 - 01.01.2020 18:00","648","648","0","1892"
"01.01.2020 18:00 - 01.01.2020 19:00","123","123","0","2085"
"01.01.2020 19:00 - 01.01.2020 20:00","735","735","0","1847"
"01.01.2020 20:00 - 01.01.2020 21:00","672","672","0","1947"
"01.01.2020 21:00 - 01.01.2020 22:00","504","504","0","2485"
"01.01.2020 22:00 - 01.01.2020 23:00","2232","2232","0","2709"
"01.01.2020 23:00 - 02.01.2020 00:00","2133","2133","0","1945"
"02.01.2020 00:00 - 02.01.2020 01:00","0","0","151","1362"
"02.01.2020 01:00 - 02.01.2020 02:00","0","0","70","660"
"02.01.2020 02:00 - 02.01.2020 03:00","0","14","47","691"
"02.01.2020 03:00 - 02.01.2020 04:00","0","0","318","610"
"02.01.2020 04:00 - 02.01.2020 05:00","568","1013","0","0"
"02.01.2020 05:00 - 02.01.2020 06:00","1059","1540","0","0"
"02.01.2020 06:00 - 02.01.2020 07:00","2178","2650","0","0"
"02.01.2020 07:00 - 02.01.2020 08:00","1599","1661","0","582"
"02.01.2020 08:00 - 02.01.2020 09:00","1676","1676","0","1147"
"02.01.2020 09:00 - 02.01.2020 10:00","528","528","0","967"
"02.01.2020 10:00 - 02.01.2020 11:00","128","128","0","1127"
"02.01.2020 11:00 - 02.01.2020 12:00","123","123","0","888"
"02.01.2020 12:00 - 02.01.2020 13:00","381","381","0","958"
"02.01.2020 13:00 - 02.01.2020 14:00","781","781","0","1202"
"02.01.2020 14:00 - 02.01.2020 15:00","1319","1319","0","566"
"02.01.2020 15:00 - 02.01.2020 16:00","490","490","0","845"
"02.01.2020 16:00 - 02.01.2020 17:00","1679","1679","0","1019"
"02.01.2020 17:00 - 02.01.2020 18:00","390","579","0","2"
"02.01.2020 18:00 - 02.01.2020 19:00","223","223","0","589"
"02.01.2020 19:00 - 02.01.2020 20:00","349","376","0","38"
"02.01.2020 20:00 - 02.01.2020 21:00","34","34","0","466"
"02.01.2020 21:00 - 02.01.2020 22:00","0","148","183","213"
"02.01.2020 22:00 - 02.01.2020 23:00","0","175","371","371"
"02.01.2020 23:00 - 03.01.2020 00:00","0","18","22","41"
"03.01.2020 00:00 - 03.01.2020 01:00","0","588","98","98"
"03.01.2020 01:00 - 03.01.2020 02:00","0","588","340","340"
"03.01.2020 02:00 - 03.01.2020 03:00","0","567","337","337"
"03.01.2020 03:00 - 03.01.2020 04:00","0","128","334","334"
"03.01.2020 04:00 - 03.01.2020 05:00","0","174","362","362"
"03.01.2020 05:00 - 03.01.2020 06:00","0","157","384","516"
"03.01.2020 06:00 - 03.01.2020 07:00","0","265","272","272"
"03.01.2020 07:00 - 03.01.2020 08:00","0","230","222","304"
"03.01.2020 08:00 - 03.01.2020 09:00","7","7","0","125"
"03.01.2020 09:00 - 03.01.2020 10:00","0","0","214","214"
"03.01.2020 10:00 - 03.01.2020 11:00","0","0","1110","1110"
"03.01.2020 11:00 - 03.01.2020 12:00","0","196","108","119"
"03.01.2020 12:00 - 03.01.2020 13:00","0","0","3","3"
"03.01.2020 13:00 - 03.01.2020 14:00","0","0","278","278"
"03.01.2020 14:00 - 03.01.2020 15:00","0","251","747","747"
"03.01.2020 15:00 - 03.01.2020 16:00","0","249","1127","1127"
"03.01.2020 16:00 - 03.01.2020 17:00","0","58","1298","1298"
"03.01.2020 17:00 - 03.01.2020 18:00","0","0","1334","1334"
"03.01.2020 18:00 - 03.01.2020 19:00","0","0","321","321"
"03.01.2020 19:00 - 03.01.2020 20:00","0","0","759","812"
"03.01.2020 20:00 - 03.01.2020 21:00","0","0","3","3"
"03.01.2020 21:00 - 03.01.2020 22:00","0","10","3","13"
"03.01.2020 22:00 - 03.01.2020 23:00","0","0","1","189"
"03.01.2020 23:00 - 04.01.2020 00:00","0","0","609","609"
"04.01.2020 00:00 - 04.01.2020 01:00","0","0","961","961"
"04.01.2020 01:00 - 04.01.2020 02:00","0","0","1026","1026"
"04.01.2020 02:00 - 04.01.2020 03:00","0","0","1","1"
"04.01.2020 03:00 - 04.01.2020 04:00","0","165","1","1"
"04.01.2020 04:00 - 04.01.2020 05:00","0","123","1","29"
"04.01.2020 05:00 - 04.01.2020 06:00","0","55","1","132"
"04.01.2020 06:00 - 04.01.2020 07:00","0","0","3","191"
"04.01.2020 07:00 - 04.01.2020 08:00","7","23","0","65"
"04.01.2020 08:00 - 04.01.2020 09:00","7","7","0","34"
"04.01.2020 09:00 - 04.01.2020 10:00","0","140","3","3"
"04.01.2020 10:00 - 04.01.2020 11:00","0","0","3","49"
"04.01.2020 11:00 - 04.01.2020 12:00","7","7","0","0"
"04.01.2020 12:00 - 04.01.2020 13:00","0","0","3","3"
"04.01.2020 13:00 - 04.01.2020 14:00","0","0","3","5"
"04.01.2020 14:00 - 04.01.2020 15:00","0","0","3","3"
"04.01.2020 15:00 - 04.01.2020 16:00","0","0","709","709"
"04.01.2020 16:00 - 04.01.2020 17:00","0","0","1053","1053"
"04.01.2020 17:00 - 04.01.2020 18:00","0","0","1177","1177"
"04.01.2020 18:00 - 04.01.2020 19:00","0","4","636","640"
"04.01.2020 19:00 - 04.01.2020 20:00","0","1","160","160"
"04.01.2020 20:00 - 04.01.2020 21:00","0","0","169","169"
"04.01.2020 21:00 - 04.01.2020 22:00","0","0","1383","1966"
"04.01.2020 22:00 - 04.01.2020 23:00","0","0","944","1426"
"04.01.2020 23:00 - 05.01.2020 00:00","0","0","759","1588"
"05.01.2020 00:00 - 05.01.2020 01:00","0","384","1848","1848"
"05.01.2020 01:00 - 05.01.2020 02:00","0","338","1678","1678"
"05.01.2020 02:00 - 05.01.2020 03:00","0","366","1286","1376"
"05.01.2020 03:00 - 05.01.2020 04:00","0","71","333","333"
"05.01.2020 04:00 - 05.01.2020 05:00","0","86","192","244"
"05.01.2020 05:00 - 05.01.2020 06:00","0","0","149","420"
"05.01.2020 06:00 - 05.01.2020 07:00","0","0","4","227"
"05.01.2020 07:00 - 05.01.2020 08:00","3","25","0","20"
"05.01.2020 08:00 - 05.01.2020 09:00","468","817","0","26"
"05.01.2020 09:00 - 05.01.2020 10:00","544","877","0","0"
"05.01.2020 10:00 - 05.01.2020 11:00","325","386","0","110"
"05.01.2020 11:00 - 05.01.2020 12:00","0","492","68","68"
"05.01.2020 12:00 - 05.01.2020 13:00","227","227","0","100"
"05.01.2020 13:00 - 05.01.2020 14:00","0","41","312","398"
"05.01.2020 14:00 - 05.01.2020 15:00","0","4","55","121"
"05.01.2020 15:00 - 05.01.2020 16:00","107","165","0","31"
"05.01.2020 16:00 - 05.01.2020 17:00","378","613","0","7"
"05.01.2020 17:00 - 05.01.2020 18:00","0","0","438","594"
"05.01.2020 18:00 - 05.01.2020 19:00","0","0","968","1261"
"05.01.2020 19:00 - 05.01.2020 20:00","0","0","1","297"
"05.01.2020 20:00 - 05.01.2020 21:00","0","0","1","274"
"05.01.2020 21:00 - 05.01.2020 22:00","297","331","0","34"
"05.01.2020 22:00 - 05.01.2020 23:00","192","238","0","46"
"05.01.2020 23:00 - 06.01.2020 00:00","0","0","664","664"
"06.01.2020 00:00 - 06.01.2020 01:00","0","651","883","883"
"06.01.2020 01:00 - 06.01.2020 02:00","0","694","605","605"
"06.01.2020 02:00 - 06.01.2020 03:00","0","287","669","669"
"06.01.2020 03:00 - 06.01.2020 04:00","0","1267","1186","1186"
"06.01.2020 04:00 - 06.01.2020 05:00","0","814","845","845"
"06.01.2020 05:00 - 06.01.2020 06:00","24","761","0","0"
"06.01.2020 06:00 - 06.01.2020 07:00","140","522","0","59"
"06.01.2020 07:00 - 06.01.2020 08:00","0","560","889","889"
"06.01.2020 08:00 - 06.01.2020 09:00","0","261","1581","1635"
"06.01.2020 09:00 - 06.01.2020 10:00","0","0","1592","1681"
"06.01.2020 10:00 - 06.01.2020 11:00","0","114","1482","1651"
"06.01.2020 11:00 - 06.01.2020 12:00","0","378","985","985"
"06.01.2020 12:00 - 06.01.2020 13:00","0","640","487","487"
"06.01.2020 13:00 - 06.01.2020 14:00","0","623","421","421"
"06.01.2020 14:00 - 06.01.2020 15:00","0","695","240","240"
"06.01.2020 15:00 - 06.01.2020 16:00","18","570","0","0"
"06.01.2020 16:00 - 06.01.2020 17:00","0","241","124","124"
"06.01.2020 17:00 - 06.01.2020 18:00","0","32","1553","1683"
"06.01.2020 18:00 - 06.01.2020 19:00","0","0","1333","1543"
"06.01.2020 19:00 - 06.01.2020 20:00","0","195","770","941"
"06.01.2020 20:00 - 06.01.2020 21:00","0","74","3","72"
"06.01.2020 21:00 - 06.01.2020 22:00","0","224","244","324"
"06.01.2020 22:00 - 06.01.2020 23:00","0","49","374","374"
