"Time (CET/CEST)","BZN|PL > BZN|DE-LU Day Ahead [MW]","BZN|PL > BZN|DE-LU Total [MW]","BZN|DE-LU > BZN|PL Day Ahead [MW]","BZN|DE-LU > BZN|PL Total [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","224","224","0","0"
"01.01.2019 01:00 - 01.01.2019 02:00","0","0","0","0"
"01.01.2019 02:00 - 01.01.2019 03:00","0","0","0","0"
"01.01.2019 03:00 - 01.01.2019 04:00","0","0","0","0"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0","0","0"
"01.01.2019 05:00 - 01.01.2019 06:00","0","0","0","0"
"01.01.2019 06:00 - 01.01.2019 07:00","0","0","0","0"
"01.01.2019 07:00 - 01.01.2019 08:00","0","0","0","0"
"01.01.2019 08:00 - 01.01.2019 09:00","0","0","0","0"
"01.01.2019 09:00 - 01.01.2019 10:00","0","0","0","0"
"01.01.2019 10:00 - 01.01.2019 11:00","0","0","0","0"
"01.01.2019 11:00 - 01.01.2019 12:00","0","0","0","0"
"01.01.2019 12:00 - 01.01.2019 13:00","0","0","0","0"
"01.01.2019 13:00 - 01.01.2019 14:00","0","0","0","0"
"01.01.2019 14:00 - 01.01.2019 15:00","0","0","0","0"
"01.01.2019 15:00 - 01.01.2019 16:00","0","0","0","0"
"01.01.2019 16:00 - 01.01.2019 17:00","0","0","0","0"
"01.01.2019 17:00 - 01.01.2019 18:00","0","0","0","0"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0","0","0"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0","0","0"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0","0","0"
"01.01.2019 21:00 - 01.01.2019 22:00","0","0","0","0"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0","0","0"
"01.01.2019 23:00 - 02.01.2019 00:00","0","0","0","0"
"02.01.2019 00:00 - 02.01.2019 01:00","0","0","0","0"
"02.01.2019 01:00 - 02.01.2019 02:00","0","0","0","0"
"02.01.2019 02:00 - 02.01.2019 03:00","0","0","0","0"
"02.01.2019 03:00 - 02.01.2019 04:00","0","0","0","0"
"02.01.2019 04:00 - 02.01.2019 05:00","0","0","0","0"
"02.01.2019 05:00 - 02.01.2019 06:00","0","0","0","0"
"02.01.2019 06:00 - 02.01.2019 07:00","0","0","218","218"
"02.01.2019 07:00 - 02.01.2019 08:00","300","300","429","429"
"02.01.2019 08:00 - 02.01.2019 09:00","100","100","285","285"
"02.01.2019 09:00 - 02.01.2019 10:00","100","100","170","170"
"02.01.2019 10:00 - 02.01.2019 11:00","100","100","500","500"
"02.01.2019 11:00 - 02.01.2019 12:00","140","140","500","500"
"02.01.2019 12:00 - 02.01.2019 13:00","105","105","417","506"
"02.01.2019 13:00 - 02.01.2019 14:00","100","100","400","489"
"02.01.2019 14:00 - 02.01.2019 15:00","413","413","250","350"
"02.01.2019 15:00 - 02.01.2019 16:00","351","351","0","100"
"02.01.2019 16:00 - 02.01.2019 17:00","514","514","0","16"
"02.01.2019 17:00 - 02.01.2019 18:00","431","431","0","86"
"02.01.2019 18:00 - 02.01.2019 19:00","681","681","0","86"
"02.01.2019 19:00 - 02.01.2019 20:00","604","604","0","85"
"02.01.2019 20:00 - 02.01.2019 21:00","691","691","0","0"
"02.01.2019 21:00 - 02.01.2019 22:00","805","805","0","0"
"02.01.2019 22:00 - 02.01.2019 23:00","915","915","0","0"
"02.01.2019 23:00 - 03.01.2019 00:00","1015","1015","0","0"
"03.01.2019 00:00 - 03.01.2019 01:00","825","825","0","0"
"03.01.2019 01:00 - 03.01.2019 02:00","875","875","0","100"
"03.01.2019 02:00 - 03.01.2019 03:00","875","875","0","100"
"03.01.2019 03:00 - 03.01.2019 04:00","814","814","0","100"
"03.01.2019 04:00 - 03.01.2019 05:00","795","795","0","0"
"03.01.2019 05:00 - 03.01.2019 06:00","891","891","0","0"
"03.01.2019 06:00 - 03.01.2019 07:00","849","849","0","0"
"03.01.2019 07:00 - 03.01.2019 08:00","495","495","0","0"
"03.01.2019 08:00 - 03.01.2019 09:00","55","55","0","0"
"03.01.2019 09:00 - 03.01.2019 10:00","82","82","0","0"
"03.01.2019 10:00 - 03.01.2019 11:00","125","125","0","0"
"03.01.2019 11:00 - 03.01.2019 12:00","139","139","0","0"
"03.01.2019 12:00 - 03.01.2019 13:00","112","112","0","300"
"03.01.2019 13:00 - 03.01.2019 14:00","136","136","0","250"
"03.01.2019 14:00 - 03.01.2019 15:00","109","109","0","25"
"03.01.2019 15:00 - 03.01.2019 16:00","0","0","0","275"
"03.01.2019 16:00 - 03.01.2019 17:00","0","0","0","400"
"03.01.2019 17:00 - 03.01.2019 18:00","0","0","0","400"
"03.01.2019 18:00 - 03.01.2019 19:00","0","0","0","328"
"03.01.2019 19:00 - 03.01.2019 20:00","0","0","0","350"
"03.01.2019 20:00 - 03.01.2019 21:00","21","21","0","168"
"03.01.2019 21:00 - 03.01.2019 22:00","278","278","0","300"
"03.01.2019 22:00 - 03.01.2019 23:00","895","895","0","250"
