"Time (CET/CEST)","BZN|AT > BZN|DE-LU [MW]","BZN|DE-LU > BZN|AT [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","0","826"
"01.01.2020 01:00 - 01.01.2020 02:00","0","660"
"01.01.2020 02:00 - 01.01.2020 03:00","0","404"
"01.01.2020 03:00 - 01.01.2020 04:00","0","711"
"01.01.2020 04:00 - 01.01.2020 05:00","0","754"
"01.01.2020 05:00 - 01.01.2020 06:00","0","820"
"01.01.2020 06:00 - 01.01.2020 07:00","0","879"
"01.01.2020 07:00 - 01.01.2020 08:00","0","1031"
"01.01.2020 08:00 - 01.01.2020 09:00","0","871"
"01.01.2020 09:00 - 01.01.2020 10:00","0","1150"
"01.01.2020 10:00 - 01.01.2020 11:00","0","1329"
"01.01.2020 11:00 - 01.01.2020 12:00","0","1358"
"01.01.2020 12:00 - 01.01.2020 13:00","0","1497"
"01.01.2020 13:00 - 01.01.2020 14:00","0","1640"
"01.01.2020 14:00 - 01.01.2020 15:00","0","1583"
"01.01.2020 15:00 - 01.01.2020 16:00","0","1358"
"01.01.2020 16:00 - 01.01.2020 17:00","0","1173"
"01.01.2020 17:00 - 01.01.2020 18:00","0","494"
"01.01.2020 18:00 - 01.01.2020 19:00","0","658"
"01.01.2020 19:00 - 01.01.2020 20:00","0","734"
"01.01.2020 20:00 - 01.01.2020 21:00","0","1123"
"01.01.2020 21:00 - 01.01.2020 22:00","0","1154"
"01.01.2020 22:00 - 01.01.2020 23:00","0","1595"
"01.01.2020 23:00 - 02.01.2020 00:00","0","1675"
"02.01.2020 00:00 - 02.01.2020 01:00","0","1266"
"02.01.2020 01:00 - 02.01.2020 02:00","0","1597"
"02.01.2020 02:00 - 02.01.2020 03:00","0","1815"
"02.01.2020 03:00 - 02.01.2020 04:00","0","1741"
"02.01.2020 04:00 - 02.01.2020 05:00","0","1725"
"02.01.2020 05:00 - 02.01.2020 06:00","0","2202"
"02.01.2020 06:00 - 02.01.2020 07:00","0","1638"
"02.01.2020 07:00 - 02.01.2020 08:00","0","1518"
"02.01.2020 08:00 - 02.01.2020 09:00","0","1837"
"02.01.2020 09:00 - 02.01.2020 10:00","0","1935"
"02.01.2020 10:00 - 02.01.2020 11:00","0","2123"
"02.01.2020 11:00 - 02.01.2020 12:00","0","1964"
"02.01.2020 12:00 - 02.01.2020 13:00","0","2025"
"02.01.2020 13:00 - 02.01.2020 14:00","0","2017"
"02.01.2020 14:00 - 02.01.2020 15:00","0","2096"
"02.01.2020 15:00 - 02.01.2020 16:00","0","1695"
"02.01.2020 16:00 - 02.01.2020 17:00","0","1107"
"02.01.2020 17:00 - 02.01.2020 18:00","0","792"
"02.01.2020 18:00 - 02.01.2020 19:00","0","1052"
"02.01.2020 19:00 - 02.01.2020 20:00","0","1552"
"02.01.2020 20:00 - 02.01.2020 21:00","0","2209"
"02.01.2020 21:00 - 02.01.2020 22:00","0","2443"
"02.01.2020 22:00 - 02.01.2020 23:00","0","2381"
"02.01.2020 23:00 - 03.01.2020 00:00","0","2732"
"03.01.2020 00:00 - 03.01.2020 01:00","0","2953"
"03.01.2020 01:00 - 03.01.2020 02:00","0","2959"
"03.01.2020 02:00 - 03.01.2020 03:00","0","3071"
"03.01.2020 03:00 - 03.01.2020 04:00","0","2740"
"03.01.2020 04:00 - 03.01.2020 05:00","0","2673"
"03.01.2020 05:00 - 03.01.2020 06:00","0","2551"
"03.01.2020 06:00 - 03.01.2020 07:00","0","2360"
"03.01.2020 07:00 - 03.01.2020 08:00","0","1973"
"03.01.2020 08:00 - 03.01.2020 09:00","0","2097"
"03.01.2020 09:00 - 03.01.2020 10:00","0","2340"
"03.01.2020 10:00 - 03.01.2020 11:00","0","2380"
"03.01.2020 11:00 - 03.01.2020 12:00","0","2808"
"03.01.2020 12:00 - 03.01.2020 13:00","0","2829"
"03.01.2020 13:00 - 03.01.2020 14:00","0","2613"
"03.01.2020 14:00 - 03.01.2020 15:00","0","2542"
"03.01.2020 15:00 - 03.01.2020 16:00","0","2371"
"03.01.2020 16:00 - 03.01.2020 17:00","0","2267"
"03.01.2020 17:00 - 03.01.2020 18:00","0","2161"
"03.01.2020 18:00 - 03.01.2020 19:00","0","2197"
"03.01.2020 19:00 - 03.01.2020 20:00","0","2505"
"03.01.2020 20:00 - 03.01.2020 21:00","0","2876"
"03.01.2020 21:00 - 03.01.2020 22:00","0","3078"
"03.01.2020 22:00 - 03.01.2020 23:00","0","2888"
"03.01.2020 23:00 - 04.01.2020 00:00","0","3013"
"04.01.2020 00:00 - 04.01.2020 01:00","0","3105"
"04.01.2020 01:00 - 04.01.2020 02:00","0","2944"
"04.01.2020 02:00 - 04.01.2020 03:00","0","2999"
"04.01.2020 03:00 - 04.01.2020 04:00","0","2727"
"04.01.2020 04:00 - 04.01.2020 05:00","0","2620"
"04.01.2020 05:00 - 04.01.2020 06:00","0","2700"
"04.01.2020 06:00 - 04.01.2020 07:00","0","2812"
"04.01.2020 07:00 - 04.01.2020 08:00","0","2961"
"04.01.2020 08:00 - 04.01.2020 09:00","0","3142"
"04.01.2020 09:00 - 04.01.2020 10:00","0","3071"
"04.01.2020 10:00 - 04.01.2020 11:00","0","2563"
"04.01.2020 11:00 - 04.01.2020 12:00","0","3003"
"04.01.2020 12:00 - 04.01.2020 13:00","0","2904"
"04.01.2020 13:00 - 04.01.2020 14:00","0","3139"
"04.01.2020 14:00 - 04.01.2020 15:00","0","3125"
"04.01.2020 15:00 - 04.01.2020 16:00","0","2872"
"04.01.2020 16:00 - 04.01.2020 17:00","0","2939"
"04.01.2020 17:00 - 04.01.2020 18:00","0","2544"
"04.01.2020 18:00 - 04.01.2020 19:00","0","2420"
"04.01.2020 19:00 - 04.01.2020 20:00","0","2514"
"04.01.2020 20:00 - 04.01.2020 21:00","0","2530"
"04.01.2020 21:00 - 04.01.2020 22:00","0","2515"
"04.01.2020 22:00 - 04.01.2020 23:00","0","2544"
"04.01.2020 23:00 - 05.01.2020 00:00","0","1771"
"05.01.2020 00:00 - 05.01.2020 01:00","0","1425"
"05.01.2020 01:00 - 05.01.2020 02:00","0","1453"
"05.01.2020 02:00 - 05.01.2020 03:00","0","1333"
"05.01.2020 03:00 - 05.01.2020 04:00","0","1434"
"05.01.2020 04:00 - 05.01.2020 05:00","0","1362"
"05.01.2020 05:00 - 05.01.2020 06:00","0","1478"
"05.01.2020 06:00 - 05.01.2020 07:00","0","1803"
"05.01.2020 07:00 - 05.01.2020 08:00","0","2029"
"05.01.2020 08:00 - 05.01.2020 09:00","0","1923"
"05.01.2020 09:00 - 05.01.2020 10:00","0","1491"
"05.01.2020 10:00 - 05.01.2020 11:00","0","1126"
"05.01.2020 11:00 - 05.01.2020 12:00","0","964"
"05.01.2020 12:00 - 05.01.2020 13:00","0","1127"
"05.01.2020 13:00 - 05.01.2020 14:00","0","1168"
"05.01.2020 14:00 - 05.01.2020 15:00","0","1391"
"05.01.2020 15:00 - 05.01.2020 16:00","0","1545"
"05.01.2020 16:00 - 05.01.2020 17:00","0","1495"
"05.01.2020 17:00 - 05.01.2020 18:00","0","1460"
"05.01.2020 18:00 - 05.01.2020 19:00","0","1105"
"05.01.2020 19:00 - 05.01.2020 20:00","0","1598"
"05.01.2020 20:00 - 05.01.2020 21:00","0","2018"
"05.01.2020 21:00 - 05.01.2020 22:00","0","2317"
"05.01.2020 22:00 - 05.01.2020 23:00","0","1983"
"05.01.2020 23:00 - 06.01.2020 00:00","0","2036"
"06.01.2020 00:00 - 06.01.2020 01:00","0","2096"
"06.01.2020 01:00 - 06.01.2020 02:00","0","1955"
