"Time (CET/CEST)","BZN|CH > BZN|DE-LU [MW]","BZN|DE-LU > BZN|CH [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","3057"
"01.01.2019 01:00 - 01.01.2019 02:00","0","3034"
"01.01.2019 02:00 - 01.01.2019 03:00","0","3165"
"01.01.2019 03:00 - 01.01.2019 04:00","0","3170"
"01.01.2019 04:00 - 01.01.2019 05:00","0","2976"
"01.01.2019 05:00 - 01.01.2019 06:00","0","3233"
"01.01.2019 06:00 - 01.01.2019 07:00","0","3490"
"01.01.2019 07:00 - 01.01.2019 08:00","0","3690"
"01.01.2019 08:00 - 01.01.2019 09:00","0","3841"
"01.01.2019 09:00 - 01.01.2019 10:00","0","3738"
"01.01.2019 10:00 - 01.01.2019 11:00","0","3820"
"01.01.2019 11:00 - 01.01.2019 12:00","0","3688"
"01.01.2019 12:00 - 01.01.2019 13:00","0","3426"
"01.01.2019 13:00 - 01.01.2019 14:00","0","3466"
"01.01.2019 14:00 - 01.01.2019 15:00","0","3812"
"01.01.2019 15:00 - 01.01.2019 16:00","0","4223"
"01.01.2019 16:00 - 01.01.2019 17:00","0","4180"
"01.01.2019 17:00 - 01.01.2019 18:00","0","3781"
"01.01.2019 18:00 - 01.01.2019 19:00","0","3525"
"01.01.2019 19:00 - 01.01.2019 20:00","0","3182"
"01.01.2019 20:00 - 01.01.2019 21:00","0","3533"
"01.01.2019 21:00 - 01.01.2019 22:00","0","3580"
"01.01.2019 22:00 - 01.01.2019 23:00","0","3728"
"01.01.2019 23:00 - 02.01.2019 00:00","0","3619"
"02.01.2019 00:00 - 02.01.2019 01:00","0","3097"
"02.01.2019 01:00 - 02.01.2019 02:00","0","3395"
"02.01.2019 02:00 - 02.01.2019 03:00","0","3363"
"02.01.2019 03:00 - 02.01.2019 04:00","0","3254"
"02.01.2019 04:00 - 02.01.2019 05:00","0","3350"
"02.01.2019 05:00 - 02.01.2019 06:00","0","3714"
"02.01.2019 06:00 - 02.01.2019 07:00","0","3786"
"02.01.2019 07:00 - 02.01.2019 08:00","0","3553"
"02.01.2019 08:00 - 02.01.2019 09:00","0","3600"
"02.01.2019 09:00 - 02.01.2019 10:00","0","3323"
"02.01.2019 10:00 - 02.01.2019 11:00","0","3256"
"02.01.2019 11:00 - 02.01.2019 12:00","0","3195"
"02.01.2019 12:00 - 02.01.2019 13:00","0","2852"
"02.01.2019 13:00 - 02.01.2019 14:00","0","3305"
"02.01.2019 14:00 - 02.01.2019 15:00","0","3478"
"02.01.2019 15:00 - 02.01.2019 16:00","0","3394"
"02.01.2019 16:00 - 02.01.2019 17:00","0","3352"
"02.01.2019 17:00 - 02.01.2019 18:00","0","2572"
"02.01.2019 18:00 - 02.01.2019 19:00","0","2602"
"02.01.2019 19:00 - 02.01.2019 20:00","0","2739"
"02.01.2019 20:00 - 02.01.2019 21:00","0","3391"
"02.01.2019 21:00 - 02.01.2019 22:00","0","3574"
"02.01.2019 22:00 - 02.01.2019 23:00","0","3775"
"02.01.2019 23:00 - 03.01.2019 00:00","0","3678"
"03.01.2019 00:00 - 03.01.2019 01:00","0","3730"
"03.01.2019 01:00 - 03.01.2019 02:00","0","3552"
"03.01.2019 02:00 - 03.01.2019 03:00","0","3635"
"03.01.2019 03:00 - 03.01.2019 04:00","0","3244"
"03.01.2019 04:00 - 03.01.2019 05:00","0","3070"
"03.01.2019 05:00 - 03.01.2019 06:00","0","3498"
"03.01.2019 06:00 - 03.01.2019 07:00","0","3662"
"03.01.2019 07:00 - 03.01.2019 08:00","0","3000"
"03.01.2019 08:00 - 03.01.2019 09:00","0","3137"
"03.01.2019 09:00 - 03.01.2019 10:00","0","2681"
"03.01.2019 10:00 - 03.01.2019 11:00","0","2631"
"03.01.2019 11:00 - 03.01.2019 12:00","0","3184"
"03.01.2019 12:00 - 03.01.2019 13:00","0","2578"
"03.01.2019 13:00 - 03.01.2019 14:00","0","2340"
"03.01.2019 14:00 - 03.01.2019 15:00","0","2435"
"03.01.2019 15:00 - 03.01.2019 16:00","0","2228"
"03.01.2019 16:00 - 03.01.2019 17:00","0","2121"
"03.01.2019 17:00 - 03.01.2019 18:00","0","1302"
"03.01.2019 18:00 - 03.01.2019 19:00","0","1805"
"03.01.2019 19:00 - 03.01.2019 20:00","0","2274"
"03.01.2019 20:00 - 03.01.2019 21:00","0","3372"
"03.01.2019 21:00 - 03.01.2019 22:00","0","4053"
"03.01.2019 22:00 - 03.01.2019 23:00","0","4235"
"03.01.2019 23:00 - 04.01.2019 00:00","0","3774"
"04.01.2019 00:00 - 04.01.2019 01:00","0","3756"
"04.01.2019 01:00 - 04.01.2019 02:00","0","3970"
"04.01.2019 02:00 - 04.01.2019 03:00","0","4262"
"04.01.2019 03:00 - 04.01.2019 04:00","0","4515"
"04.01.2019 04:00 - 04.01.2019 05:00","0","4185"
