"Time (CET/CEST)","BZN|CZ > BZN|DE-LU [MW]","BZN|DE-LU > BZN|CZ [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","1019","0"
"01.01.2020 01:00 - 01.01.2020 02:00","1172","0"
"01.01.2020 02:00 - 01.01.2020 03:00","1504","0"
"01.01.2020 03:00 - 01.01.2020 04:00","975","0"
"01.01.2020 04:00 - 01.01.2020 05:00","688","0"
"01.01.2020 05:00 - 01.01.2020 06:00","700","0"
"01.01.2020 06:00 - 01.01.2020 07:00","652","0"
"01.01.2020 07:00 - 01.01.2020 08:00","680","0"
"01.01.2020 08:00 - 01.01.2020 09:00","709","0"
"01.01.2020 09:00 - 01.01.2020 10:00","977","0"
"01.01.2020 10:00 - 01.01.2020 11:00","824","0"
"01.01.2020 11:00 - 01.01.2020 12:00","840","0"
"01.01.2020 12:00 - 01.01.2020 13:00","642","0"
"01.01.2020 13:00 - 01.01.2020 14:00","335","0"
"01.01.2020 14:00 - 01.01.2020 15:00","73","0"
"01.01.2020 15:00 - 01.01.2020 16:00","0","296"
"01.01.2020 16:00 - 01.01.2020 17:00","0","474"
"01.01.2020 17:00 - 01.01.2020 18:00","0","189"
"01.01.2020 18:00 - 01.01.2020 19:00","57","0"
"01.01.2020 19:00 - 01.01.2020 20:00","186","0"
"01.01.2020 20:00 - 01.01.2020 21:00","153","0"
"01.01.2020 21:00 - 01.01.2020 22:00","269","0"
"01.01.2020 22:00 - 01.01.2020 23:00","301","0"
"01.01.2020 23:00 - 02.01.2020 00:00","268","0"
"02.01.2020 00:00 - 02.01.2020 01:00","371","0"
"02.01.2020 01:00 - 02.01.2020 02:00","0","85"
"02.01.2020 02:00 - 02.01.2020 03:00","0","408"
"02.01.2020 03:00 - 02.01.2020 04:00","0","578"
"02.01.2020 04:00 - 02.01.2020 05:00","0","732"
"02.01.2020 05:00 - 02.01.2020 06:00","0","1559"
"02.01.2020 06:00 - 02.01.2020 07:00","0","1493"
"02.01.2020 07:00 - 02.01.2020 08:00","0","1385"
"02.01.2020 08:00 - 02.01.2020 09:00","0","1287"
"02.01.2020 09:00 - 02.01.2020 10:00","0","1148"
"02.01.2020 10:00 - 02.01.2020 11:00","0","1294"
"02.01.2020 11:00 - 02.01.2020 12:00","0","1269"
"02.01.2020 12:00 - 02.01.2020 13:00","0","1325"
"02.01.2020 13:00 - 02.01.2020 14:00","0","1226"
"02.01.2020 14:00 - 02.01.2020 15:00","0","1478"
"02.01.2020 15:00 - 02.01.2020 16:00","0","1527"
"02.01.2020 16:00 - 02.01.2020 17:00","0","1328"
"02.01.2020 17:00 - 02.01.2020 18:00","0","1214"
"02.01.2020 18:00 - 02.01.2020 19:00","0","1285"
"02.01.2020 19:00 - 02.01.2020 20:00","0","1628"
"02.01.2020 20:00 - 02.01.2020 21:00","0","1671"
"02.01.2020 21:00 - 02.01.2020 22:00","0","1584"
"02.01.2020 22:00 - 02.01.2020 23:00","0","1330"
"02.01.2020 23:00 - 03.01.2020 00:00","0","1565"
"03.01.2020 00:00 - 03.01.2020 01:00","0","1878"
"03.01.2020 01:00 - 03.01.2020 02:00","0","1925"
"03.01.2020 02:00 - 03.01.2020 03:00","0","2230"
"03.01.2020 03:00 - 03.01.2020 04:00","0","2154"
"03.01.2020 04:00 - 03.01.2020 05:00","0","2321"
"03.01.2020 05:00 - 03.01.2020 06:00","0","2475"
"03.01.2020 06:00 - 03.01.2020 07:00","0","2597"
"03.01.2020 07:00 - 03.01.2020 08:00","0","2518"
"03.01.2020 08:00 - 03.01.2020 09:00","0","2280"
"03.01.2020 09:00 - 03.01.2020 10:00","0","2289"
"03.01.2020 10:00 - 03.01.2020 11:00","0","2240"
"03.01.2020 11:00 - 03.01.2020 12:00","0","2332"
"03.01.2020 12:00 - 03.01.2020 13:00","0","2062"
"03.01.2020 13:00 - 03.01.2020 14:00","0","2062"
"03.01.2020 14:00 - 03.01.2020 15:00","0","2100"
"03.01.2020 15:00 - 03.01.2020 16:00","0","2139"
"03.01.2020 16:00 - 03.01.2020 17:00","0","2193"
"03.01.2020 17:00 - 03.01.2020 18:00","0","2185"
"03.01.2020 18:00 - 03.01.2020 19:00","0","2194"
"03.01.2020 19:00 - 03.01.2020 20:00","0","2106"
"03.01.2020 20:00 - 03.01.2020 21:00","0","1904"
"03.01.2020 21:00 - 03.01.2020 22:00","0","2141"
"03.01.2020 22:00 - 03.01.2020 23:00","0","2146"
"03.01.2020 23:00 - 04.01.2020 00:00","0","2253"
"04.01.2020 00:00 - 04.01.2020 01:00","0","2023"
"04.01.2020 01:00 - 04.01.2020 02:00","0","1942"
"04.01.2020 02:00 - 04.01.2020 03:00","0","2184"
"04.01.2020 03:00 - 04.01.2020 04:00","0","2236"
"04.01.2020 04:00 - 04.01.2020 05:00","0","2213"
"04.01.2020 05:00 - 04.01.2020 06:00","0","2313"
"04.01.2020 06:00 - 04.01.2020 07:00","0","2425"
"04.01.2020 07:00 - 04.01.2020 08:00","0","2154"
"04.01.2020 08:00 - 04.01.2020 09:00","0","2211"
"04.01.2020 09:00 - 04.01.2020 10:00","0","2474"
"04.01.2020 10:00 - 04.01.2020 11:00","0","2503"
"04.01.2020 11:00 - 04.01.2020 12:00","0","2722"
"04.01.2020 12:00 - 04.01.2020 13:00","0","2556"
"04.01.2020 13:00 - 04.01.2020 14:00","0","2491"
"04.01.2020 14:00 - 04.01.2020 15:00","0","2425"
"04.01.2020 15:00 - 04.01.2020 16:00","0","2499"
"04.01.2020 16:00 - 04.01.2020 17:00","0","2519"
"04.01.2020 17:00 - 04.01.2020 18:00","0","2144"
"04.01.2020 18:00 - 04.01.2020 19:00","0","1790"
"04.01.2020 19:00 - 04.01.2020 20:00","0","1645"
"04.01.2020 20:00 - 04.01.2020 21:00","0","1661"
"04.01.2020 21:00 - 04.01.2020 22:00","0","1078"
"04.01.2020 22:00 - 04.01.2020 23:00","0","552"
"04.01.2020 23:00 - 05.01.2020 00:00","71","0"
"05.01.2020 00:00 - 05.01.2020 01:00","452","0"
"05.01.2020 01:00 - 05.01.2020 02:00","891","0"
"05.01.2020 02:00 - 05.01.2020 03:00","1012","0"
"05.01.2020 03:00 - 05.01.2020 04:00","821","0"
"05.01.2020 04:00 - 05.01.2020 05:00","653","0"
"05.01.2020 05:00 - 05.01.2020 06:00","647","0"
"05.01.2020 06:00 - 05.01.2020 07:00","337","0"
"05.01.2020 07:00 - 05.01.2020 08:00","63","0"
