"Time (CET/CEST)","BZN|DK1 > BZN|DE-LU [MW]","BZN|DE-LU > BZN|DK1 [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","1085"
"01.01.2019 01:00 - 01.01.2019 02:00","0","1044"
"01.01.2019 02:00 - 01.01.2019 03:00","0","1506"
"01.01.2019 03:00 - 01.01.2019 04:00","0","1316"
"01.01.2019 04:00 - 01.01.2019 05:00","0","1368"
"01.01.2019 05:00 - 01.01.2019 06:00","0","1488"
"01.01.2019 06:00 - 01.01.2019 07:00","0","1451"
"01.01.2019 07:00 - 01.01.2019 08:00","0","1389"
"01.01.2019 08:00 - 01.01.2019 09:00","0","1422"
"01.01.2019 09:00 - 01.01.2019 10:00","0","1370"
"01.01.2019 10:00 - 01.01.2019 11:00","0","1392"
"01.01.2019 11:00 - 01.01.2019 12:00","0","1248"
"01.01.2019 12:00 - 01.01.2019 13:00","0","1458"
"01.01.2019 13:00 - 01.01.2019 14:00","0","1445"
"01.01.2019 14:00 - 01.01.2019 15:00","0","1372"
"01.01.2019 15:00 - 01.01.2019 16:00","0","1250"
"01.01.2019 16:00 - 01.01.2019 17:00","0","1431"
"01.01.2019 17:00 - 01.01.2019 18:00","0","1479"
"01.01.2019 18:00 - 01.01.2019 19:00","0","1464"
"01.01.2019 19:00 - 01.01.2019 20:00","0","1582"
"01.01.2019 20:00 - 01.01.2019 21:00","0","1504"
"01.01.2019 21:00 - 01.01.2019 22:00","0","1480"
"01.01.2019 22:00 - 01.01.2019 23:00","0","1479"
"01.01.2019 23:00 - 02.01.2019 00:00","0","1539"
"02.01.2019 00:00 - 02.01.2019 01:00","0","1503"
"02.01.2019 01:00 - 02.01.2019 02:00","0","1500"
"02.01.2019 02:00 - 02.01.2019 03:00","0","1487"
"02.01.2019 03:00 - 02.01.2019 04:00","0","1509"
"02.01.2019 04:00 - 02.01.2019 05:00","0","1502"
"02.01.2019 05:00 - 02.01.2019 06:00","0","1477"
"02.01.2019 06:00 - 02.01.2019 07:00","0","1513"
"02.01.2019 07:00 - 02.01.2019 08:00","0","1388"
"02.01.2019 08:00 - 02.01.2019 09:00","0","1489"
"02.01.2019 09:00 - 02.01.2019 10:00","0","1507"
"02.01.2019 10:00 - 02.01.2019 11:00","0","1516"
"02.01.2019 11:00 - 02.01.2019 12:00","0","1492"
"02.01.2019 12:00 - 02.01.2019 13:00","0","1477"
"02.01.2019 13:00 - 02.01.2019 14:00","0","1518"
"02.01.2019 14:00 - 02.01.2019 15:00","0","1151"
"02.01.2019 15:00 - 02.01.2019 16:00","0","842"
"02.01.2019 16:00 - 02.01.2019 17:00","0","696"
"02.01.2019 17:00 - 02.01.2019 18:00","118","0"
"02.01.2019 18:00 - 02.01.2019 19:00","0","7"
"02.01.2019 19:00 - 02.01.2019 20:00","68","0"
"02.01.2019 20:00 - 02.01.2019 21:00","110","0"
"02.01.2019 21:00 - 02.01.2019 22:00","328","0"
"02.01.2019 22:00 - 02.01.2019 23:00","186","0"
"02.01.2019 23:00 - 03.01.2019 00:00","0","653"
"03.01.2019 00:00 - 03.01.2019 01:00","0","882"
"03.01.2019 01:00 - 03.01.2019 02:00","0","1077"
"03.01.2019 02:00 - 03.01.2019 03:00","0","1260"
"03.01.2019 03:00 - 03.01.2019 04:00","0","1483"
"03.01.2019 04:00 - 03.01.2019 05:00","0","1471"
"03.01.2019 05:00 - 03.01.2019 06:00","0","1209"
"03.01.2019 06:00 - 03.01.2019 07:00","0","1006"
"03.01.2019 07:00 - 03.01.2019 08:00","0","620"
"03.01.2019 08:00 - 03.01.2019 09:00","277","0"
"03.01.2019 09:00 - 03.01.2019 10:00","583","0"
"03.01.2019 10:00 - 03.01.2019 11:00","501","0"
"03.01.2019 11:00 - 03.01.2019 12:00","1309","0"
"03.01.2019 12:00 - 03.01.2019 13:00","1341","0"
"03.01.2019 13:00 - 03.01.2019 14:00","1327","0"
"03.01.2019 14:00 - 03.01.2019 15:00","1330","0"
"03.01.2019 15:00 - 03.01.2019 16:00","1314","0"
"03.01.2019 16:00 - 03.01.2019 17:00","1217","0"
"03.01.2019 17:00 - 03.01.2019 18:00","1173","0"
"03.01.2019 18:00 - 03.01.2019 19:00","1269","0"
"03.01.2019 19:00 - 03.01.2019 20:00","1249","0"
"03.01.2019 20:00 - 03.01.2019 21:00","1273","0"
"03.01.2019 21:00 - 03.01.2019 22:00","1302","0"
"03.01.2019 22:00 - 03.01.2019 23:00","1277","0"
"03.01.2019 23:00 - 04.01.2019 00:00","1308","0"
"04.01.2019 00:00 - 04.01.2019 01:00","1036","0"
"04.01.2019 01:00 - 04.01.2019 02:00","17","0"
"04.01.2019 02:00 - 04.01.2019 03:00","0","169"
"04.01.2019 03:00 - 04.01.2019 04:00","0","55"
"04.01.2019 04:00 - 04.01.2019 05:00","0","349"
"04.01.2019 05:00 - 04.01.2019 06:00","0","852"
"04.01.2019 06:00 - 04.01.2019 07:00","0","575"
"04.01.2019 07:00 - 04.01.2019 08:00","0","567"
"04.01.2019 08:00 - 04.01.2019 09:00","0","714"
"04.01.2019 09:00 - 04.01.2019 10:00","0","755"
"04.01.2019 10:00 - 04.01.2019 11:00","0","496"
"04.01.2019 11:00 - 04.01.2019 12:00","0","547"
"04.01.2019 12:00 - 04.01.2019 13:00","0","587"
"04.01.2019 13:00 - 04.01.2019 14:00","0","641"
"04.01.2019 14:00 - 04.01.2019 15:00","0","1168"
"04.01.2019 15:00 - 04.01.2019 16:00","0","923"
"04.01.2019 16:00 - 04.01.2019 17:00","0","920"
"04.01.2019 17:00 - 04.01.2019 18:00","0","866"
"04.01.2019 18:00 - 04.01.2019 19:00","0","563"
"04.01.2019 19:00 - 04.01.2019 20:00","0","739"
"04.01.2019 20:00 - 04.01.2019 21:00","0","1128"
"04.01.2019 21:00 - 04.01.2019 22:00","0","1067"
"04.01.2019 22:00 - 04.01.2019 23:00","0","929"
"04.01.2019 23:00 - 05.01.2019 00:00","0","688"
"05.01.2019 00:00 - 05.01.2019 01:00","0","866"
"05.01.2019 01:00 - 05.01.2019 02:00","0","893"
"05.01.2019 02:00 - 05.01.2019 03:00","0","1017"
"05.01.2019 03:00 - 05.01.2019 04:00","0","1340"
"05.01.2019 04:00 - 05.01.2019 05:00","0","1340"
"05.01.2019 05:00 - 05.01.2019 06:00","0","1340"
"05.01.2019 06:00 - 05.01.2019 07:00","0","1494"
"05.01.2019 07:00 - 05.01.2019 08:00","0","1499"
"05.01.2019 08:00 - 05.01.2019 09:00","0","1498"
"05.01.2019 09:00 - 05.01.2019 10:00","0","1508"
"05.01.2019 10:00 - 05.01.2019 11:00","0","1498"
"05.01.2019 11:00 - 05.01.2019 12:00","0","1468"
"05.01.2019 12:00 - 05.01.2019 13:00","0","878"
"05.01.2019 13:00 - 05.01.2019 14:00","0","686"
"05.01.2019 14:00 - 05.01.2019 15:00","0","490"
"05.01.2019 15:00 - 05.01.2019 16:00","0","121"
"05.01.2019 16:00 - 05.01.2019 17:00","74","0"
"05.01.2019 17:00 - 05.01.2019 18:00","144","0"
"05.01.2019 18:00 - 05.01.2019 19:00","286","0"
"05.01.2019 19:00 - 05.01.2019 20:00","139","0"
"05.01.2019 20:00 - 05.01.2019 21:00","0","207"
"05.01.2019 21:00 - 05.01.2019 22:00","31","0"
