"Time (CET/CEST)","BZN|FR > BZN|DE-LU [MW]","BZN|DE-LU > BZN|FR [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","1044"
"01.01.2019 01:00 - 01.01.2019 02:00","0","625"
"01.01.2019 02:00 - 01.01.2019 03:00","18","406"
"01.01.2019 03:00 - 01.01.2019 04:00","189","365"
"01.01.2019 04:00 - 01.01.2019 05:00","71","777"
"01.01.2019 05:00 - 01.01.2019 06:00","7","1095"
"01.01.2019 06:00 - 01.01.2019 07:00","0","1192"
"01.01.2019 07:00 - 01.01.2019 08:00","0","1296"
"01.01.2019 08:00 - 01.01.2019 09:00","3","1312"
"01.01.2019 09:00 - 01.01.2019 10:00","122","1041"
"01.01.2019 10:00 - 01.01.2019 11:00","0","1039"
"01.01.2019 11:00 - 01.01.2019 12:00","0","1089"
"01.01.2019 12:00 - 01.01.2019 13:00","0","1179"
"01.01.2019 13:00 - 01.01.2019 14:00","0","1402"
"01.01.2019 14:00 - 01.01.2019 15:00","0","1199"
"01.01.2019 15:00 - 01.01.2019 16:00","0","1192"
"01.01.2019 16:00 - 01.01.2019 17:00","0","1149"
"01.01.2019 17:00 - 01.01.2019 18:00","0","839"
"01.01.2019 18:00 - 01.01.2019 19:00","35","569"
"01.01.2019 19:00 - 01.01.2019 20:00","11","575"
"01.01.2019 20:00 - 01.01.2019 21:00","24","651"
"01.01.2019 21:00 - 01.01.2019 22:00","155","415"
"01.01.2019 22:00 - 01.01.2019 23:00","182","422"
"01.01.2019 23:00 - 02.01.2019 00:00","229","455"
"02.01.2019 00:00 - 02.01.2019 01:00","338","448"
"02.01.2019 01:00 - 02.01.2019 02:00","367","386"
"02.01.2019 02:00 - 02.01.2019 03:00","425","494"
"02.01.2019 03:00 - 02.01.2019 04:00","481","640"
"02.01.2019 04:00 - 02.01.2019 05:00","451","633"
"02.01.2019 05:00 - 02.01.2019 06:00","380","349"
"02.01.2019 06:00 - 02.01.2019 07:00","357","88"
"02.01.2019 07:00 - 02.01.2019 08:00","170","17"
"02.01.2019 08:00 - 02.01.2019 09:00","160","4"
"02.01.2019 09:00 - 02.01.2019 10:00","0","204"
"02.01.2019 10:00 - 02.01.2019 11:00","0","188"
"02.01.2019 11:00 - 02.01.2019 12:00","2","168"
"02.01.2019 12:00 - 02.01.2019 13:00","0","205"
"02.01.2019 13:00 - 02.01.2019 14:00","0","155"
"02.01.2019 14:00 - 02.01.2019 15:00","99","21"
"02.01.2019 15:00 - 02.01.2019 16:00","389","0"
"02.01.2019 16:00 - 02.01.2019 17:00","441","0"
"02.01.2019 17:00 - 02.01.2019 18:00","430","38"
"02.01.2019 18:00 - 02.01.2019 19:00","0","449"
"02.01.2019 19:00 - 02.01.2019 20:00","0","782"
"02.01.2019 20:00 - 02.01.2019 21:00","0","713"
"02.01.2019 21:00 - 02.01.2019 22:00","3","361"
"02.01.2019 22:00 - 02.01.2019 23:00","0","772"
"02.01.2019 23:00 - 03.01.2019 00:00","0","863"
"03.01.2019 00:00 - 03.01.2019 01:00","0","1038"
"03.01.2019 01:00 - 03.01.2019 02:00","0","1232"
"03.01.2019 02:00 - 03.01.2019 03:00","0","1088"
"03.01.2019 03:00 - 03.01.2019 04:00","0","591"
"03.01.2019 04:00 - 03.01.2019 05:00","0","503"
"03.01.2019 05:00 - 03.01.2019 06:00","0","1128"
"03.01.2019 06:00 - 03.01.2019 07:00","0","1118"
"03.01.2019 07:00 - 03.01.2019 08:00","0","896"
"03.01.2019 08:00 - 03.01.2019 09:00","0","1767"
"03.01.2019 09:00 - 03.01.2019 10:00","0","1394"
"03.01.2019 10:00 - 03.01.2019 11:00","0","1297"
"03.01.2019 11:00 - 03.01.2019 12:00","0","1667"
"03.01.2019 12:00 - 03.01.2019 13:00","0","1302"
"03.01.2019 13:00 - 03.01.2019 14:00","0","1227"
"03.01.2019 14:00 - 03.01.2019 15:00","0","442"
"03.01.2019 15:00 - 03.01.2019 16:00","107","14"
"03.01.2019 16:00 - 03.01.2019 17:00","234","30"
"03.01.2019 17:00 - 03.01.2019 18:00","145","364"
"03.01.2019 18:00 - 03.01.2019 19:00","0","1139"
"03.01.2019 19:00 - 03.01.2019 20:00","0","1529"
"03.01.2019 20:00 - 03.01.2019 21:00","0","2150"
"03.01.2019 21:00 - 03.01.2019 22:00","0","1911"
"03.01.2019 22:00 - 03.01.2019 23:00","0","2178"
"03.01.2019 23:00 - 04.01.2019 00:00","0","2015"
"04.01.2019 00:00 - 04.01.2019 01:00","0","1813"
"04.01.2019 01:00 - 04.01.2019 02:00","0","1631"
"04.01.2019 02:00 - 04.01.2019 03:00","0","1619"
"04.01.2019 03:00 - 04.01.2019 04:00","0","1451"
"04.01.2019 04:00 - 04.01.2019 05:00","0","1243"
"04.01.2019 05:00 - 04.01.2019 06:00","0","1433"
"04.01.2019 06:00 - 04.01.2019 07:00","0","1617"
"04.01.2019 07:00 - 04.01.2019 08:00","0","1972"
"04.01.2019 08:00 - 04.01.2019 09:00","0","1850"
"04.01.2019 09:00 - 04.01.2019 10:00","0","1544"
"04.01.2019 10:00 - 04.01.2019 11:00","0","1444"
"04.01.2019 11:00 - 04.01.2019 12:00","0","1601"
"04.01.2019 12:00 - 04.01.2019 13:00","0","1296"
"04.01.2019 13:00 - 04.01.2019 14:00","0","1117"
"04.01.2019 14:00 - 04.01.2019 15:00","0","833"
"04.01.2019 15:00 - 04.01.2019 16:00","0","663"
"04.01.2019 16:00 - 04.01.2019 17:00","0","588"
"04.01.2019 17:00 - 04.01.2019 18:00","0","673"
"04.01.2019 18:00 - 04.01.2019 19:00","0","963"
"04.01.2019 19:00 - 04.01.2019 20:00","0","666"
"04.01.2019 20:00 - 04.01.2019 21:00","0","677"
"04.01.2019 21:00 - 04.01.2019 22:00","0","1198"
"04.01.2019 22:00 - 04.01.2019 23:00","0","841"
"04.01.2019 23:00 - 05.01.2019 00:00","0","1086"
"05.01.2019 00:00 - 05.01.2019 01:00","0","1009"
"05.01.2019 01:00 - 05.01.2019 02:00","0","850"
"05.01.2019 02:00 - 05.01.2019 03:00","0","980"
"05.01.2019 03:00 - 05.01.2019 04:00","74","750"
"05.01.2019 04:00 - 05.01.2019 05:00","166","693"
"05.01.2019 05:00 - 05.01.2019 06:00","11","860"
"05.01.2019 06:00 - 05.01.2019 07:00","0","1235"
"05.01.2019 07:00 - 05.01.2019 08:00","0","1269"
"05.01.2019 08:00 - 05.01.2019 09:00","0","1356"
"05.01.2019 09:00 - 05.01.2019 10:00","2","1176"
"05.01.2019 10:00 - 05.01.2019 11:00","8","995"
"05.01.2019 11:00 - 05.01.2019 12:00","0","1139"
"05.01.2019 12:00 - 05.01.2019 13:00","0","1322"
"05.01.2019 13:00 - 05.01.2019 14:00","0","1512"
"05.01.2019 14:00 - 05.01.2019 15:00","0","1167"
"05.01.2019 15:00 - 05.01.2019 16:00","16","983"
"05.01.2019 16:00 - 05.01.2019 17:00","58","765"
"05.01.2019 17:00 - 05.01.2019 18:00","81","512"
"05.01.2019 18:00 - 05.01.2019 19:00","0","1134"
"05.01.2019 19:00 - 05.01.2019 20:00","0","1533"
"05.01.2019 20:00 - 05.01.2019 21:00","0","1378"
"05.01.2019 21:00 - 05.01.2019 22:00","0","1553"
"05.01.2019 22:00 - 05.01.2019 23:00","0","1338"
"05.01.2019 23:00 - 06.01.2019 00:00","0","1361"
"06.01.2019 00:00 - 06.01.2019 01:00","0","1987"
"06.01.2019 01:00 - 06.01.2019 02:00","0","1863"
"06.01.2019 02:00 - 06.01.2019 03:00","0","1782"
"06.01.2019 03:00 - 06.01.2019 04:00","0","1312"
"06.01.2019 04:00 - 06.01.2019 05:00","5","566"
"06.01.2019 05:00 - 06.01.2019 06:00","0","824"
"06.01.2019 06:00 - 06.01.2019 07:00","0","922"
"06.01.2019 07:00 - 06.01.2019 08:00","0","1401"
"06.01.2019 08:00 - 06.01.2019 09:00","0","1456"
"06.01.2019 09:00 - 06.01.2019 10:00","0","1491"
"06.01.2019 10:00 - 06.01.2019 11:00","0","1393"
"06.01.2019 11:00 - 06.01.2019 12:00","0","1477"
"06.01.2019 12:00 - 06.01.2019 13:00","0","2061"
"06.01.2019 13:00 - 06.01.2019 14:00","0","2087"
"06.01.2019 14:00 - 06.01.2019 15:00","0","1504"
"06.01.2019 15:00 - 06.01.2019 16:00","0","1412"
"06.01.2019 16:00 - 06.01.2019 17:00","0","939"
"06.01.2019 17:00 - 06.01.2019 18:00","0","1294"
"06.01.2019 18:00 - 06.01.2019 19:00","0","2168"
"06.01.2019 19:00 - 06.01.2019 20:00","0","2887"
"06.01.2019 20:00 - 06.01.2019 21:00","0","2944"
"06.01.2019 21:00 - 06.01.2019 22:00","0","2318"
"06.01.2019 22:00 - 06.01.2019 23:00","0","2275"
"06.01.2019 23:00 - 07.01.2019 00:00","0","2396"
"07.01.2019 00:00 - 07.01.2019 01:00","0","1635"
"07.01.2019 01:00 - 07.01.2019 02:00","0","1406"
"07.01.2019 02:00 - 07.01.2019 03:00","0","1405"
"07.01.2019 03:00 - 07.01.2019 04:00","0","823"
"07.01.2019 04:00 - 07.01.2019 05:00","0","791"
"07.01.2019 05:00 - 07.01.2019 06:00","37","636"
"07.01.2019 06:00 - 07.01.2019 07:00","210","117"
"07.01.2019 07:00 - 07.01.2019 08:00","104","163"
"07.01.2019 08:00 - 07.01.2019 09:00","121","487"
"07.01.2019 09:00 - 07.01.2019 10:00","306","327"
"07.01.2019 10:00 - 07.01.2019 11:00","407","207"
"07.01.2019 11:00 - 07.01.2019 12:00","127","267"
"07.01.2019 12:00 - 07.01.2019 13:00","191","110"
"07.01.2019 13:00 - 07.01.2019 14:00","334","0"
"07.01.2019 14:00 - 07.01.2019 15:00","311","31"
"07.01.2019 15:00 - 07.01.2019 16:00","413","35"
"07.01.2019 16:00 - 07.01.2019 17:00","504","44"
"07.01.2019 17:00 - 07.01.2019 18:00","162","481"
"07.01.2019 18:00 - 07.01.2019 19:00","47","671"
"07.01.2019 19:00 - 07.01.2019 20:00","71","536"
"07.01.2019 20:00 - 07.01.2019 21:00","99","506"
"07.01.2019 21:00 - 07.01.2019 22:00","244","589"
"07.01.2019 22:00 - 07.01.2019 23:00","360","310"
"07.01.2019 23:00 - 08.01.2019 00:00","618","210"
"08.01.2019 00:00 - 08.01.2019 01:00","533","281"
"08.01.2019 01:00 - 08.01.2019 02:00","411","393"
"08.01.2019 02:00 - 08.01.2019 03:00","487","465"
"08.01.2019 03:00 - 08.01.2019 04:00","530","505"
"08.01.2019 04:00 - 08.01.2019 05:00","579","351"
"08.01.2019 05:00 - 08.01.2019 06:00","515","259"
"08.01.2019 06:00 - 08.01.2019 07:00","320","92"
"08.01.2019 07:00 - 08.01.2019 08:00","53","185"
"08.01.2019 08:00 - 08.01.2019 09:00","27","351"
"08.01.2019 09:00 - 08.01.2019 10:00","181","268"
"08.01.2019 10:00 - 08.01.2019 11:00","218","265"
"08.01.2019 11:00 - 08.01.2019 12:00","175","142"
"08.01.2019 12:00 - 08.01.2019 13:00","204","73"
"08.01.2019 13:00 - 08.01.2019 14:00","200","52"
"08.01.2019 14:00 - 08.01.2019 15:00","187","128"
"08.01.2019 15:00 - 08.01.2019 16:00","307","102"
"08.01.2019 16:00 - 08.01.2019 17:00","421","99"
"08.01.2019 17:00 - 08.01.2019 18:00","109","158"
"08.01.2019 18:00 - 08.01.2019 19:00","5","378"
"08.01.2019 19:00 - 08.01.2019 20:00","19","267"
"08.01.2019 20:00 - 08.01.2019 21:00","25","303"
"08.01.2019 21:00 - 08.01.2019 22:00","181","253"
"08.01.2019 22:00 - 08.01.2019 23:00","125","309"
"08.01.2019 23:00 - 09.01.2019 00:00","286","379"
"09.01.2019 00:00 - 09.01.2019 01:00","481","232"
"09.01.2019 01:00 - 09.01.2019 02:00","639","29"
"09.01.2019 02:00 - 09.01.2019 03:00","629","42"
"09.01.2019 03:00 - 09.01.2019 04:00","486","240"
"09.01.2019 04:00 - 09.01.2019 05:00","710","0"
"09.01.2019 05:00 - 09.01.2019 06:00","308","263"
"09.01.2019 06:00 - 09.01.2019 07:00","121","167"
"09.01.2019 07:00 - 09.01.2019 08:00","25","321"
"09.01.2019 08:00 - 09.01.2019 09:00","8","226"
"09.01.2019 09:00 - 09.01.2019 10:00","0","326"
"09.01.2019 10:00 - 09.01.2019 11:00","0","340"
"09.01.2019 11:00 - 09.01.2019 12:00","121","228"
"09.01.2019 12:00 - 09.01.2019 13:00","203","274"
"09.01.2019 13:00 - 09.01.2019 14:00","391","190"
"09.01.2019 14:00 - 09.01.2019 15:00","428","143"
"09.01.2019 15:00 - 09.01.2019 16:00","524","39"
"09.01.2019 16:00 - 09.01.2019 17:00","438","100"
"09.01.2019 17:00 - 09.01.2019 18:00","421","0"
"09.01.2019 18:00 - 09.01.2019 19:00","4","661"
"09.01.2019 19:00 - 09.01.2019 20:00","18","551"
"09.01.2019 20:00 - 09.01.2019 21:00","3","773"
"09.01.2019 21:00 - 09.01.2019 22:00","35","557"
"09.01.2019 22:00 - 09.01.2019 23:00","17","549"
"09.01.2019 23:00 - 10.01.2019 00:00","34","566"
"10.01.2019 00:00 - 10.01.2019 01:00","342","57"
"10.01.2019 01:00 - 10.01.2019 02:00","28","429"
"10.01.2019 02:00 - 10.01.2019 03:00","242","41"
"10.01.2019 03:00 - 10.01.2019 04:00","127","67"
"10.01.2019 04:00 - 10.01.2019 05:00","154","77"
"10.01.2019 05:00 - 10.01.2019 06:00","249","80"
"10.01.2019 06:00 - 10.01.2019 07:00","556","0"
"10.01.2019 07:00 - 10.01.2019 08:00","681","92"
"10.01.2019 08:00 - 10.01.2019 09:00","928","171"
"10.01.2019 09:00 - 10.01.2019 10:00","967","20"
"10.01.2019 10:00 - 10.01.2019 11:00","1090","0"
