"Time (CET/CEST)","BZN|SE4 > BZN|DE-LU [MW]","BZN|DE-LU > BZN|SE4 [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","75","0"
"01.01.2019 01:00 - 01.01.2019 02:00","0","2"
"01.01.2019 02:00 - 01.01.2019 03:00","0","68"
"01.01.2019 03:00 - 01.01.2019 04:00","0","66"
"01.01.2019 04:00 - 01.01.2019 05:00","0","66"
"01.01.2019 05:00 - 01.01.2019 06:00","0","66"
"01.01.2019 06:00 - 01.01.2019 07:00","0","65"
"01.01.2019 07:00 - 01.01.2019 08:00","0","66"
"01.01.2019 08:00 - 01.01.2019 09:00","0","66"
"01.01.2019 09:00 - 01.01.2019 10:00","0","66"
"01.01.2019 10:00 - 01.01.2019 11:00","0","66"
"01.01.2019 11:00 - 01.01.2019 12:00","0","66"
"01.01.2019 12:00 - 01.01.2019 13:00","0","66"
"01.01.2019 13:00 - 01.01.2019 14:00","0","66"
"01.01.2019 14:00 - 01.01.2019 15:00","0","66"
"01.01.2019 15:00 - 01.01.2019 16:00","0","66"
"01.01.2019 16:00 - 01.01.2019 17:00","0","66"
"01.01.2019 17:00 - 01.01.2019 18:00","0","66"
"01.01.2019 18:00 - 01.01.2019 19:00","0","66"
"01.01.2019 19:00 - 01.01.2019 20:00","0","66"
"01.01.2019 20:00 - 01.01.2019 21:00","0","66"
"01.01.2019 21:00 - 01.01.2019 22:00","0","66"
"01.01.2019 22:00 - 01.01.2019 23:00","0","66"
"01.01.2019 23:00 - 02.01.2019 00:00","0","66"
"02.01.2019 00:00 - 02.01.2019 01:00","0","67"
"02.01.2019 01:00 - 02.01.2019 02:00","0","66"
"02.01.2019 02:00 - 02.01.2019 03:00","0","66"
"02.01.2019 03:00 - 02.01.2019 04:00","0","66"
"02.01.2019 04:00 - 02.01.2019 05:00","0","66"
"02.01.2019 05:00 - 02.01.2019 06:00","0","66"
"02.01.2019 06:00 - 02.01.2019 07:00","0","66"
"02.01.2019 07:00 - 02.01.2019 08:00","0","66"
"02.01.2019 08:00 - 02.01.2019 09:00","0","66"
"02.01.2019 09:00 - 02.01.2019 10:00","0","4"
"02.01.2019 10:00 - 02.01.2019 11:00","0","64"
"02.01.2019 11:00 - 02.01.2019 12:00","0","66"
"02.01.2019 12:00 - 02.01.2019 13:00","0","66"
"02.01.2019 13:00 - 02.01.2019 14:00","0","66"
"02.01.2019 14:00 - 02.01.2019 15:00","0","66"
"02.01.2019 15:00 - 02.01.2019 16:00","94","0"
"02.01.2019 16:00 - 02.01.2019 17:00","2","0"
"02.01.2019 17:00 - 02.01.2019 18:00","373","0"
"02.01.2019 18:00 - 02.01.2019 19:00","590","0"
"02.01.2019 19:00 - 02.01.2019 20:00","610","0"
"02.01.2019 20:00 - 02.01.2019 21:00","610","0"
"02.01.2019 21:00 - 02.01.2019 22:00","610","0"
"02.01.2019 22:00 - 02.01.2019 23:00","610","0"
"02.01.2019 23:00 - 03.01.2019 00:00","114","0"
"03.01.2019 00:00 - 03.01.2019 01:00","0","231"
"03.01.2019 01:00 - 03.01.2019 02:00","0","274"
"03.01.2019 02:00 - 03.01.2019 03:00","0","286"
"03.01.2019 03:00 - 03.01.2019 04:00","0","298"
"03.01.2019 04:00 - 03.01.2019 05:00","0","287"
"03.01.2019 05:00 - 03.01.2019 06:00","0","286"
"03.01.2019 06:00 - 03.01.2019 07:00","0","29"
"03.01.2019 07:00 - 03.01.2019 08:00","0","3"
"03.01.2019 08:00 - 03.01.2019 09:00","456","0"
"03.01.2019 09:00 - 03.01.2019 10:00","88","0"
"03.01.2019 10:00 - 03.01.2019 11:00","0","3"
"03.01.2019 11:00 - 03.01.2019 12:00","178","0"
"03.01.2019 12:00 - 03.01.2019 13:00","82","0"
"03.01.2019 13:00 - 03.01.2019 14:00","523","0"
"03.01.2019 14:00 - 03.01.2019 15:00","609","0"
"03.01.2019 15:00 - 03.01.2019 16:00","355","0"
"03.01.2019 16:00 - 03.01.2019 17:00","83","0"
"03.01.2019 17:00 - 03.01.2019 18:00","0","2"
"03.01.2019 18:00 - 03.01.2019 19:00","425","0"
"03.01.2019 19:00 - 03.01.2019 20:00","605","0"
"03.01.2019 20:00 - 03.01.2019 21:00","610","0"
"03.01.2019 21:00 - 03.01.2019 22:00","610","0"
"03.01.2019 22:00 - 03.01.2019 23:00","595","0"
"03.01.2019 23:00 - 04.01.2019 00:00","104","0"
"04.01.2019 00:00 - 04.01.2019 01:00","237","0"
"04.01.2019 01:00 - 04.01.2019 02:00","23","0"
"04.01.2019 02:00 - 04.01.2019 03:00","0","2"
"04.01.2019 03:00 - 04.01.2019 04:00","0","2"
"04.01.2019 04:00 - 04.01.2019 05:00","0","2"
"04.01.2019 05:00 - 04.01.2019 06:00","0","72"
"04.01.2019 06:00 - 04.01.2019 07:00","0","5"
"04.01.2019 07:00 - 04.01.2019 08:00","54","0"
"04.01.2019 08:00 - 04.01.2019 09:00","349","0"
"04.01.2019 09:00 - 04.01.2019 10:00","383","0"
"04.01.2019 10:00 - 04.01.2019 11:00","336","0"
"04.01.2019 11:00 - 04.01.2019 12:00","33","0"
"04.01.2019 12:00 - 04.01.2019 13:00","0","3"
"04.01.2019 13:00 - 04.01.2019 14:00","0","3"
"04.01.2019 14:00 - 04.01.2019 15:00","0","3"
"04.01.2019 15:00 - 04.01.2019 16:00","0","59"
"04.01.2019 16:00 - 04.01.2019 17:00","207","0"
"04.01.2019 17:00 - 04.01.2019 18:00","557","0"
"04.01.2019 18:00 - 04.01.2019 19:00","610","0"
"04.01.2019 19:00 - 04.01.2019 20:00","302","0"
"04.01.2019 20:00 - 04.01.2019 21:00","0","39"
"04.01.2019 21:00 - 04.01.2019 22:00","0","75"
"04.01.2019 22:00 - 04.01.2019 23:00","0","75"
"04.01.2019 23:00 - 05.01.2019 00:00","0","71"
"05.01.2019 00:00 - 05.01.2019 01:00","0","61"
"05.01.2019 01:00 - 05.01.2019 02:00","0","61"
"05.01.2019 02:00 - 05.01.2019 03:00","0","61"
"05.01.2019 03:00 - 05.01.2019 04:00","0","61"
"05.01.2019 04:00 - 05.01.2019 05:00","0","61"
"05.01.2019 05:00 - 05.01.2019 06:00","0","61"
"05.01.2019 06:00 - 05.01.2019 07:00","0","61"
"05.01.2019 07:00 - 05.01.2019 08:00","0","61"
"05.01.2019 08:00 - 05.01.2019 09:00","0","61"
"05.01.2019 09:00 - 05.01.2019 10:00","0","99"
"05.01.2019 10:00 - 05.01.2019 11:00","0","194"
"05.01.2019 11:00 - 05.01.2019 12:00","0","90"
"05.01.2019 12:00 - 05.01.2019 13:00","0","5"
"05.01.2019 13:00 - 05.01.2019 14:00","0","3"
"05.01.2019 14:00 - 05.01.2019 15:00","0","3"
"05.01.2019 15:00 - 05.01.2019 16:00","0","3"
"05.01.2019 16:00 - 05.01.2019 17:00","218","0"
"05.01.2019 17:00 - 05.01.2019 18:00","154","0"
"05.01.2019 18:00 - 05.01.2019 19:00","242","0"
"05.01.2019 19:00 - 05.01.2019 20:00","410","0"
"05.01.2019 20:00 - 05.01.2019 21:00","52","0"
"05.01.2019 21:00 - 05.01.2019 22:00","0","2"
"05.01.2019 22:00 - 05.01.2019 23:00","0","2"
"05.01.2019 23:00 - 06.01.2019 00:00","0","62"
"06.01.2019 00:00 - 06.01.2019 01:00","0","4"
"06.01.2019 01:00 - 06.01.2019 02:00","0","300"
"06.01.2019 02:00 - 06.01.2019 03:00","0","39"
"06.01.2019 03:00 - 06.01.2019 04:00","0","3"
"06.01.2019 04:00 - 06.01.2019 05:00","0","323"
"06.01.2019 05:00 - 06.01.2019 06:00","0","366"
"06.01.2019 06:00 - 06.01.2019 07:00","0","119"
"06.01.2019 07:00 - 06.01.2019 08:00","0","6"
"06.01.2019 08:00 - 06.01.2019 09:00","0","3"
"06.01.2019 09:00 - 06.01.2019 10:00","459","0"
"06.01.2019 10:00 - 06.01.2019 11:00","598","0"
"06.01.2019 11:00 - 06.01.2019 12:00","609","0"
"06.01.2019 12:00 - 06.01.2019 13:00","610","0"
"06.01.2019 13:00 - 06.01.2019 14:00","610","0"
"06.01.2019 14:00 - 06.01.2019 15:00","109","0"
"06.01.2019 15:00 - 06.01.2019 16:00","0","3"
"06.01.2019 16:00 - 06.01.2019 17:00","267","0"
"06.01.2019 17:00 - 06.01.2019 18:00","463","0"
"06.01.2019 18:00 - 06.01.2019 19:00","602","0"
"06.01.2019 19:00 - 06.01.2019 20:00","610","0"
"06.01.2019 20:00 - 06.01.2019 21:00","610","0"
"06.01.2019 21:00 - 06.01.2019 22:00","610","0"
"06.01.2019 22:00 - 06.01.2019 23:00","610","0"
"06.01.2019 23:00 - 07.01.2019 00:00","609","0"
