MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
01.01.2020 00:00 - 01.01.2020 00:15,44.24,EUR,
01.01.2020 00:15 - 01.01.2020 00:30,35.58,EUR,
01.01.2020 00:30 - 01.01.2020 00:45,22.79,EUR,
01.01.2020 00:45 - 01.01.2020 01:00,9.36,EUR,
01.01.2020 01:00 - 01.01.2020 01:15,41.17,EUR,
01.01.2020 01:15 - 01.01.2020 01:30,33.69,EUR,
01.01.2020 01:30 - 01.01.2020 01:45,17,EUR,
01.01.2020 01:45 - 01.01.2020 02:00,10.14,EUR,
01.01.2020 02:00 - 01.01.2020 02:15,30.3,EUR,
01.01.2020 02:15 - 01.01.2020 02:30,26.36,EUR,
01.01.2020 02:30 - 01.01.2020 02:45,21,EUR,
01.01.2020 02:45 - 01.01.2020 03:00,18.34,EUR,
01.01.2020 03:00 - 01.01.2020 03:15,23.23,EUR,
01.01.2020 03:15 - 01.01.2020 03:30,21.65,EUR,
01.01.2020 03:30 - 01.01.2020 03:45,23,EUR,
01.01.2020 03:45 - 01.01.2020 04:00,24.53,EUR,
01.01.2020 04:00 - 01.01.2020 04:15,12.46,EUR,
01.01.2020 04:15 - 01.01.2020 04:30,22.11,EUR,
01.01.2020 04:30 - 01.01.2020 04:45,24.94,EUR,
01.01.2020 04:45 - 01.01.2020 05:00,24.92,EUR,
01.01.2020 05:00 - 01.01.2020 05:15,19.54,EUR,
01.01.2020 05:15 - 01.01.2020 05:30,22.11,EUR,
01.01.2020 05:30 - 01.01.2020 05:45,22.57,EUR,
01.01.2020 05:45 - 01.01.2020 06:00,24.98,EUR,
01.01.2020 06:00 - 01.01.2020 06:15,20.1,EUR,
01.01.2020 06:15 - 01.01.2020 06:30,20,EUR,
01.01.2020 06:30 - 01.01.2020 06:45,22.76,EUR,
01.01.2020 06:45 - 01.01.2020 07:00,29.14,EUR,
01.01.2020 07:00 - 01.01.2020 07:15,14.77,EUR,
01.01.2020 07:15 - 01.01.2020 07:30,22.75,EUR,
01.01.2020 07:30 - 01.01.2020 07:45,30.41,EUR,
01.01.2020 07:45 - 01.01.2020 08:00,35.67,EUR,
01.01.2020 08:00 - 01.01.2020 08:15,15.5,EUR,
01.01.2020 08:15 - 01.01.2020 08:30,24.92,EUR,
01.01.2020 08:30 - 01.01.2020 08:45,26.95,EUR,
01.01.2020 08:45 - 01.01.2020 09:00,33.85,EUR,
01.01.2020 09:00 - 01.01.2020 09:15,24.72,EUR,
01.01.2020 09:15 - 01.01.2020 09:30,28.44,EUR,
01.01.2020 09:30 - 01.01.2020 09:45,28.71,EUR,
01.01.2020 09:45 - 01.01.2020 10:00,24.65,EUR,
01.01.2020 10:00 - 01.01.2020 10:15,28.12,EUR,
01.01.2020 10:15 - 01.01.2020 10:30,25,EUR,
01.01.2020 10:30 - 01.01.2020 10:45,24.87,EUR,
01.01.2020 10:45 - 01.01.2020 11:00,28.4,EUR,
01.01.2020 11:00 - 01.01.2020 11:15,21.37,EUR,
01.01.2020 11:15 - 01.01.2020 11:30,25.61,EUR,
01.01.2020 11:30 - 01.01.2020 11:45,28.55,EUR,
01.01.2020 11:45 - 01.01.2020 12:00,31.22,EUR,
01.01.2020 12:00 - 01.01.2020 12:15,32.42,EUR,
01.01.2020 12:15 - 01.01.2020 12:30,30.09,EUR,
01.01.2020 12:30 - 01.01.2020 12:45,26.67,EUR,
01.01.2020 12:45 - 01.01.2020 13:00,19.02,EUR,
01.01.2020 13:00 - 01.01.2020 13:15,32.15,EUR,
01.01.2020 13:15 - 01.01.2020 13:30,25.84,EUR,
01.01.2020 13:30 - 01.01.2020 13:45,26.01,EUR,
01.01.2020 13:45 - 01.01.2020 14:00,24,EUR,
01.01.2020 14:00 - 01.01.2020 14:15,26,EUR,
01.01.2020 14:15 - 01.01.2020 14:30,25.76,EUR,
01.01.2020 14:30 - 01.01.2020 14:45,32.26,EUR,
01.01.2020 14:45 - 01.01.2020 15:00,28,EUR,
01.01.2020 15:00 - 01.01.2020 15:15,23.14,EUR,
01.01.2020 15:15 - 01.01.2020 15:30,27.3,EUR,
01.01.2020 15:30 - 01.01.2020 15:45,32.09,EUR,
01.01.2020 15:45 - 01.01.2020 16:00,41.35,EUR,
01.01.2020 16:00 - 01.01.2020 16:15,24.67,EUR,
01.01.2020 16:15 - 01.01.2020 16:30,29,EUR,
01.01.2020 16:30 - 01.01.2020 16:45,39.08,EUR,
01.01.2020 16:45 - 01.01.2020 17:00,46.19,EUR,
01.01.2020 17:00 - 01.01.2020 17:15,32.55,EUR,
01.01.2020 17:15 - 01.01.2020 17:30,36.56,EUR,
01.01.2020 17:30 - 01.01.2020 17:45,41.08,EUR,
01.01.2020 17:45 - 01.01.2020 18:00,45.21,EUR,
01.01.2020 18:00 - 01.01.2020 18:15,43.06,EUR,
01.01.2020 18:15 - 01.01.2020 18:30,39.28,EUR,
01.01.2020 18:30 - 01.01.2020 18:45,37.67,EUR,
01.01.2020 18:45 - 01.01.2020 19:00,32,EUR,
01.01.2020 19:00 - 01.01.2020 19:15,45.14,EUR,
01.01.2020 19:15 - 01.01.2020 19:30,35.84,EUR,
01.01.2020 19:30 - 01.01.2020 19:45,31.9,EUR,
01.01.2020 19:45 - 01.01.2020 20:00,25.52,EUR,
01.01.2020 20:00 - 01.01.2020 20:15,43.69,EUR,
01.01.2020 20:15 - 01.01.2020 20:30,40.55,EUR,
01.01.2020 20:30 - 01.01.2020 20:45,30.21,EUR,
01.01.2020 20:45 - 01.01.2020 21:00,25.52,EUR,
01.01.2020 21:00 - 01.01.2020 21:15,40.23,EUR,
01.01.2020 21:15 - 01.01.2020 21:30,34.09,EUR,
01.01.2020 21:30 - 01.01.2020 21:45,26.95,EUR,
01.01.2020 21:45 - 01.01.2020 22:00,28.74,EUR,
01.01.2020 22:00 - 01.01.2020 22:15,42.95,EUR,
01.01.2020 22:15 - 01.01.2020 22:30,34.87,EUR,
01.01.2020 22:30 - 01.01.2020 22:45,26.9,EUR,
01.01.2020 22:45 - 01.01.2020 23:00,17.68,EUR,
01.01.2020 23:00 - 01.01.2020 23:15,44.72,EUR,
01.01.2020 23:15 - 01.01.2020 23:30,39.12,EUR,
01.01.2020 23:30 - 01.01.2020 23:45,24.17,EUR,
01.01.2020 23:45 - 02.01.2020 00:00,6.21,EUR,
02.01.2020 00:00 - 02.01.2020 00:15,38.72,EUR,
02.01.2020 00:15 - 02.01.2020 00:30,25.67,EUR,
02.01.2020 00:30 - 02.01.2020 00:45,20.2,EUR,
02.01.2020 00:45 - 02.01.2020 01:00,4.5,EUR,
02.01.2020 01:00 - 02.01.2020 01:15,30.84,EUR,
02.01.2020 01:15 - 02.01.2020 01:30,22.71,EUR,
02.01.2020 01:30 - 02.01.2020 01:45,14.2,EUR,
02.01.2020 01:45 - 02.01.2020 02:00,6.98,EUR,
02.01.2020 02:00 - 02.01.2020 02:15,25.07,EUR,
