"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2019","0.2351","0.2350","0.2353","0.2344","","0.04%"
"30-12-2019","0.2350","0.2347","0.2351","0.2342","","0.17%"
"27-12-2019","0.2346","0.2349","0.2351","0.2340","","-0.04%"
"26-12-2019","0.2347","0.2346","0.2350","0.2344","","0.13%"
"25-12-2019","0.2344","0.2347","0.2350","0.2324","","-0.09%"
"24-12-2019","0.2346","0.2341","0.2352","0.2339","","0.26%"
"23-12-2019","0.2340","0.2349","0.2351","0.2339","","-0.30%"
"20-12-2019","0.2347","0.2345","0.2350","0.2345","","0.09%"
"19-12-2019","0.2345","0.2344","0.2351","0.2341","","0.09%"
"18-12-2019","0.2343","0.2347","0.2350","0.2339","","-0.13%"
"17-12-2019","0.2346","0.2349","0.2350","0.2343","","-0.09%"
"16-12-2019","0.2348","0.2342","0.2350","0.2334","","0.30%"
"13-12-2019","0.2341","0.2333","0.2345","0.2325","","0.39%"
"12-12-2019","0.2332","0.2335","0.2338","0.2331","","-0.09%"
"11-12-2019","0.2334","0.2331","0.2336","0.2329","","0.17%"
"10-12-2019","0.2330","0.2332","0.2333","0.2329","","-0.09%"
"09-12-2019","0.2332","0.2340","0.2342","0.2332","","-0.21%"
"06-12-2019","0.2337","0.2339","0.2345","0.2333","","0.00%"
"05-12-2019","0.2337","0.2336","0.2341","0.2335","","0.09%"
"04-12-2019","0.2335","0.2333","0.2340","0.2333","","0.13%"
"03-12-2019","0.2332","0.2333","0.2338","0.2329","","0.00%"
"02-12-2019","0.2332","0.2318","0.2336","0.2315","","0.73%"
"29-11-2019","0.2315","0.2315","0.2320","0.2309","","0.13%"
"28-11-2019","0.2312","0.2321","0.2323","0.2312","","-0.34%"
"27-11-2019","0.2320","0.2323","0.2324","0.2317","","-0.13%"
"26-11-2019","0.2323","0.2326","0.2329","0.2321","","-0.13%"
"25-11-2019","0.2326","0.2326","0.2329","0.2325","","0.00%"
"22-11-2019","0.2326","0.2325","0.2330","0.2323","","0.00%"
"21-11-2019","0.2326","0.2328","0.2331","0.2324","","-0.09%"
"20-11-2019","0.2328","0.2333","0.2335","0.2326","","-0.21%"
"19-11-2019","0.2333","0.2329","0.2334","0.2325","","0.21%"
"18-11-2019","0.2328","0.2339","0.2342","0.2327","","-0.34%"
"15-11-2019","0.2336","0.2333","0.2342","0.2332","","0.17%"
"14-11-2019","0.2332","0.2330","0.2335","0.2326","","0.13%"
"13-11-2019","0.2329","0.2336","0.2338","0.2328","","-0.26%"
"12-11-2019","0.2335","0.2341","0.2343","0.2334","","-0.21%"
"11-11-2019","0.2340","0.2344","0.2347","0.2338","","-0.17%"
"08-11-2019","0.2344","0.2348","0.2350","0.2342","","-0.13%"
"07-11-2019","0.2347","0.2344","0.2350","0.2342","","0.13%"
"06-11-2019","0.2344","0.2345","0.2347","0.2339","","0.00%"
"05-11-2019","0.2344","0.2343","0.2348","0.2340","","0.04%"
"04-11-2019","0.2343","0.2352","0.2353","0.2342","","-0.30%"
"01-11-2019","0.2350","0.2346","0.2353","0.2344","","0.21%"
"31-10-2019","0.2345","0.2349","0.2351","0.2343","","-0.09%"
"30-10-2019","0.2347","0.2342","0.2350","0.2341","","0.26%"
"29-10-2019","0.2341","0.2341","0.2346","0.2336","","0.09%"
"28-10-2019","0.2339","0.2337","0.2342","0.2333","","0.09%"
