"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"01.01.2018 00:00 - 01.01.2018 00:15","n/e","n/e","n/e","n/e","3216","n/e","n/e","28033","n/e"
"01.01.2018 00:15 - 01.01.2018 00:30","n/e","n/e","n/e","n/e","2882","n/e","n/e","28446","n/e"
"01.01.2018 00:30 - 01.01.2018 00:45","n/e","n/e","n/e","n/e","2899","n/e","n/e","28771","n/e"
"01.01.2018 00:45 - 01.01.2018 01:00","n/e","n/e","n/e","n/e","2936","n/e","n/e","29085","n/e"
"01.01.2018 01:00 - 01.01.2018 01:15","n/e","n/e","n/e","n/e","2790","n/e","n/e","29832","n/e"
"01.01.2018 01:15 - 01.01.2018 01:30","n/e","n/e","n/e","n/e","2908","n/e","n/e","30237","n/e"
"01.01.2018 01:30 - 01.01.2018 01:45","n/e","n/e","n/e","n/e","2931","n/e","n/e","30577","n/e"
"01.01.2018 01:45 - 01.01.2018 02:00","n/e","n/e","n/e","n/e","2936","n/e","n/e","31244","n/e"
"01.01.2018 02:00 - 01.01.2018 02:15","n/e","n/e","n/e","n/e","2931","n/e","n/e","31663","n/e"
"01.01.2018 02:15 - 01.01.2018 02:30","n/e","n/e","n/e","n/e","2950","n/e","n/e","31783","n/e"
"01.01.2018 02:30 - 01.01.2018 02:45","n/e","n/e","n/e","n/e","2974","n/e","n/e","31663","n/e"
"01.01.2018 02:45 - 01.01.2018 03:00","n/e","n/e","n/e","n/e","2989","n/e","n/e","31784","n/e"
"01.01.2018 03:00 - 01.01.2018 03:15","n/e","n/e","n/e","n/e","2972","n/e","n/e","32378","n/e"
"01.01.2018 03:15 - 01.01.2018 03:30","n/e","n/e","n/e","n/e","3000","n/e","n/e","32538","n/e"
"01.01.2018 03:30 - 01.01.2018 03:45","n/e","n/e","n/e","n/e","2995","n/e","n/e","32696","n/e"
"01.01.2018 03:45 - 01.01.2018 04:00","n/e","n/e","n/e","n/e","3020","n/e","n/e","33119","n/e"
"01.01.2018 04:00 - 01.01.2018 04:15","n/e","n/e","n/e","n/e","3013","n/e","n/e","33398","n/e"
"01.01.2018 04:15 - 01.01.2018 04:30","n/e","n/e","n/e","n/e","2992","n/e","n/e","33509","n/e"
"01.01.2018 04:30 - 01.01.2018 04:45","n/e","n/e","n/e","n/e","3010","n/e","n/e","33610","n/e"
"01.01.2018 04:45 - 01.01.2018 05:00","n/e","n/e","n/e","n/e","3038","n/e","n/e","33831","n/e"
"01.01.2018 05:00 - 01.01.2018 05:15","n/e","n/e","n/e","n/e","3097","n/e","n/e","33959","n/e"
"01.01.2018 05:15 - 01.01.2018 05:30","n/e","n/e","n/e","n/e","3090","n/e","n/e","33959","n/e"
"01.01.2018 05:30 - 01.01.2018 05:45","n/e","n/e","n/e","n/e","3094","n/e","n/e","33826","n/e"
"01.01.2018 05:45 - 01.01.2018 06:00","n/e","n/e","n/e","n/e","3105","n/e","n/e","33767","n/e"
"01.01.2018 06:00 - 01.01.2018 06:15","n/e","n/e","n/e","n/e","3119","n/e","n/e","33798","n/e"
"01.01.2018 06:15 - 01.01.2018 06:30","n/e","n/e","n/e","n/e","3149","n/e","n/e","33687","n/e"
"01.01.2018 06:30 - 01.01.2018 06:45","n/e","n/e","n/e","n/e","3193","n/e","n/e","33387","n/e"
"01.01.2018 06:45 - 01.01.2018 07:00","n/e","n/e","n/e","n/e","3238","n/e","n/e","33443","n/e"
"01.01.2018 07:00 - 01.01.2018 07:15","n/e","n/e","n/e","n/e","3279","n/e","n/e","33397","n/e"
"01.01.2018 07:15 - 01.01.2018 07:30","n/e","n/e","n/e","n/e","3260","n/e","n/e","33454","n/e"
"01.01.2018 07:30 - 01.01.2018 07:45","n/e","n/e","n/e","n/e","3252","n/e","n/e","33460","n/e"
"01.01.2018 07:45 - 01.01.2018 08:00","n/e","n/e","n/e","n/e","3245","n/e","n/e","33179","n/e"
"01.01.2018 08:00 - 01.01.2018 08:15","n/e","n/e","n/e","n/e","3225","n/e","n/e","33215","n/e"
"01.01.2018 08:15 - 01.01.2018 08:30","n/e","n/e","n/e","n/e","3215","n/e","n/e","33323","n/e"
"01.01.2018 08:30 - 01.01.2018 08:45","n/e","n/e","n/e","n/e","3222","n/e","n/e","33271","n/e"
"01.01.2018 08:45 - 01.01.2018 09:00","n/e","n/e","n/e","n/e","3228","n/e","n/e","33212","n/e"
"01.01.2018 09:00 - 01.01.2018 09:15","n/e","n/e","n/e","n/e","3231","n/e","n/e","33103","n/e"
"01.01.2018 09:15 - 01.01.2018 09:30","n/e","n/e","n/e","n/e","3215","n/e","n/e","33009","n/e"
"01.01.2018 09:30 - 01.01.2018 09:45","n/e","n/e","n/e","n/e","3218","n/e","n/e","33088","n/e"
"01.01.2018 09:45 - 01.01.2018 10:00","n/e","n/e","n/e","n/e","3218","n/e","n/e","33044","n/e"
"01.01.2018 10:00 - 01.01.2018 10:15","n/e","n/e","n/e","n/e","3220","n/e","n/e","32945","n/e"
"01.01.2018 10:15 - 01.01.2018 10:30","n/e","n/e","n/e","n/e","3198","n/e","n/e","32904","n/e"
"01.01.2018 10:30 - 01.01.2018 10:45","n/e","n/e","n/e","n/e","3205","n/e","n/e","33096","n/e"
"01.01.2018 10:45 - 01.01.2018 11:00","n/e","n/e","n/e","n/e","3208","n/e","n/e","33044","n/e"
"01.01.2018 11:00 - 01.01.2018 11:15","n/e","n/e","n/e","n/e","3211","n/e","n/e","32952","n/e"
