"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"01.01.2019 00:00 - 01.01.2019 00:15","0","0","0","5042","3986","2978","18224","18598","11078"
"01.01.2019 00:15 - 01.01.2019 00:30","0","0","0","5061","3878","2864","18652","19171","11380"
"01.01.2019 00:30 - 01.01.2019 00:45","0","0","0","5079","3540","2531","19095","19588","11469"
"01.01.2019 00:45 - 01.01.2019 01:00","0","0","0","5094","3593","2578","19548","19819","11488"
"01.01.2019 01:00 - 01.01.2019 01:15","0","0","0","5112","3907","2889","19999","20369","11893"
"01.01.2019 01:15 - 01.01.2019 01:30","0","0","0","5015","3706","2690","20406","21103","12468"
"01.01.2019 01:30 - 01.01.2019 01:45","0","0","0","5019","3715","2697","20831","21523","12638"
"01.01.2019 01:45 - 01.01.2019 02:00","0","0","0","5023","3771","2760","21270","21948","12807"
"01.01.2019 02:00 - 01.01.2019 02:15","0","0","0","5025","3624","2632","21692","22213","13011"
"01.01.2019 02:15 - 01.01.2019 02:30","0","0","0","5027","3406","2416","22129","22396","13390"
"01.01.2019 02:30 - 01.01.2019 02:45","0","0","0","5029","3489","2496","22575","22161","13249"
"01.01.2019 02:45 - 01.01.2019 03:00","0","0","0","5033","3574","2579","23026","22441","13248"
"01.01.2019 03:00 - 01.01.2019 03:15","0","0","0","5033","3576","2578","23479","22744","13310"
"01.01.2019 03:15 - 01.01.2019 03:30","0","0","0","5030","3374","2374","23917","23278","13612"
"01.01.2019 03:30 - 01.01.2019 03:45","0","0","0","4926","3464","2462","24153","23739","13845"
"01.01.2019 03:45 - 01.01.2019 04:00","0","0","0","4922","3513","2509","24581","23909","13806"
"01.01.2019 04:00 - 01.01.2019 04:15","0","0","0","4918","3795","2788","24993","24065","13767"
"01.01.2019 04:15 - 01.01.2019 04:30","0","0","0","4911","3733","2725","25313","24628","14136"
"01.01.2019 04:30 - 01.01.2019 04:45","0","0","0","4905","3746","2736","25637","25038","14348"
"01.01.2019 04:45 - 01.01.2019 05:00","0","0","0","4895","3769","2758","25865","25724","14839"
"01.01.2019 05:00 - 01.01.2019 05:15","0","0","0","4887","4486","3473","26091","26033","14958"
"01.01.2019 05:15 - 01.01.2019 05:30","0","0","0","4886","4374","3360","26385","26487","15217"
"01.01.2019 05:30 - 01.01.2019 05:45","0","0","0","4882","4222","3207","26692","26683","15217"
"01.01.2019 05:45 - 01.01.2019 06:00","0","0","0","4876","4236","3219","26938","26825","15280"
"01.01.2019 06:00 - 01.01.2019 06:15","0","0","0","4873","3860","2842","27671","27173","15457"
"01.01.2019 06:15 - 01.01.2019 06:30","0","0","0","4874","3757","2738","27935","27793","15889"
"01.01.2019 06:30 - 01.01.2019 06:45","0","0","0","4879","3721","2701","28186","27759","15667"
"01.01.2019 06:45 - 01.01.2019 07:00","0","0","0","4879","3702","2681","28442","27985","15720"
"01.01.2019 07:00 - 01.01.2019 07:15","0","0","0","4886","3575","2553","28678","28065","15630"
"01.01.2019 07:15 - 01.01.2019 07:30","0","0","0","4892","3397","2377","28786","28469","15879"
"01.01.2019 07:30 - 01.01.2019 07:45","0","0","0","4896","3460","2442","28896","28576","15837"
"01.01.2019 07:45 - 01.01.2019 08:00","0","0","0","4899","3534","2504","29020","28758","16010"
"01.01.2019 08:00 - 01.01.2019 08:15","6","6","4","4901","3600","2516","29085","28955","16179"
"01.01.2019 08:15 - 01.01.2019 08:30","36","39","26","4905","3661","2382","29201","29118","16537"
"01.01.2019 08:30 - 01.01.2019 08:45","84","102","54","4911","3722","2450","29319","29300","16420"
"01.01.2019 08:45 - 01.01.2019 09:00","191","223","120","4914","3777","2502","29463","29491","16354"
"01.01.2019 09:00 - 01.01.2019 09:15","346","374","232","4920","3829","2573","29604","29678","16240"
"01.01.2019 09:15 - 01.01.2019 09:30","537","572","344","4921","3876","2414","29769","29848","16356"
"01.01.2019 09:30 - 01.01.2019 09:45","756","797","466","4923","3922","2546","29937","30009","16220"
"01.01.2019 09:45 - 01.01.2019 10:00","982","1034","620","4926","3965","2447","30106","30131","15883"
"01.01.2019 10:00 - 01.01.2019 10:15","1191","1250","747","4929","3999","2481","30272","30264","15617"
"01.01.2019 10:15 - 01.01.2019 10:30","1375","1439","852","4926","3675","2222","30386","30499","15835"
"01.01.2019 10:30 - 01.01.2019 10:45","1558","1626","962","4922","3698","2264","30503","30621","15908"
"01.01.2019 10:45 - 01.01.2019 11:00","1719","1791","1082","4917","3721","2403","30685","30739","16126"
"01.01.2019 11:00 - 01.01.2019 11:15","1865","1936","1186","4910","3735","2464","30852","30849","16338"
"01.01.2019 11:15 - 01.01.2019 11:30","1991","2062","1251","4898","3714","2357","30999","31053","16907"
"01.01.2019 11:30 - 01.01.2019 11:45","2091","2162","1302","4884","3689","2440","31147","31258","17305"
"01.01.2019 11:45 - 01.01.2019 12:00","2162","2232","1405","4856","3663","2448","31285","31432","17455"
"01.01.2019 12:00 - 01.01.2019 12:15","2214","2276","1461","4822","3625","2638","31437","31610","17578"
"01.01.2019 12:15 - 01.01.2019 12:30","2234","2294","1430","4537","3489","2496","31510","31785","17829"
"01.01.2019 12:30 - 01.01.2019 12:45","2224","2284","1383","4498","3464","2555","31701","31992","17858"
"01.01.2019 12:45 - 01.01.2019 13:00","2178","2234","1345","4468","3445","2557","31889","32199","17792"
"01.01.2019 13:00 - 01.01.2019 13:15","2109","2159","1294","4436","3431","2643","32073","32392","17817"
"01.01.2019 13:15 - 01.01.2019 13:30","2006","2046","1234","4423","3457","2288","32263","32611","18121"
"01.01.2019 13:30 - 01.01.2019 13:45","1856","1888","1146","4411","3484","2118","32446","32827","18101"
"01.01.2019 13:45 - 01.01.2019 14:00","1692","1705","1043","4397","3510","2171","32594","33056","18125"
"01.01.2019 14:00 - 01.01.2019 14:15","1512","1505","959","4388","3873","2266","32749","32771","18288"
"01.01.2019 14:15 - 01.01.2019 14:30","1306","1290","833","4385","3887","2108","32936","32903","18553"
"01.01.2019 14:30 - 01.01.2019 14:45","1075","1053","708","4387","3896","2021","33119","33048","18664"
"01.01.2019 14:45 - 01.01.2019 15:00","844","824","552","4387","4082","2076","33270","33401","18607"
"01.01.2019 15:00 - 01.01.2019 15:15","629","611","424","4386","4071","2102","33417","33525","18697"
"01.01.2019 15:15 - 01.01.2019 15:30","427","421","288","4373","4055","2070","33581","33681","18982"
"01.01.2019 15:30 - 01.01.2019 15:45","268","267","179","4409","4038","2468","33819","33832","18819"
"01.01.2019 15:45 - 01.01.2019 16:00","145","143","93","4387","4025","2396","33953","33990","18594"
"01.01.2019 16:00 - 01.01.2019 16:15","55","63","34","4365","4009","2278","34091","34160","18895"
"01.01.2019 16:15 - 01.01.2019 16:30","18","19","9","4344","3985","2037","34279","34291","19019"
"01.01.2019 16:30 - 01.01.2019 16:45","3","5","1","4326","3959","2037","34490","34430","19089"
"01.01.2019 16:45 - 01.01.2019 17:00","1","1","0","4304","3951","2082","34653","34571","18977"
"01.01.2019 17:00 - 01.01.2019 17:15","0","0","0","4276","3945","2089","34810","34699","19102"
"01.01.2019 17:15 - 01.01.2019 17:30","0","0","0","4245","3949","2028","34974","34835","19203"
"01.01.2019 17:30 - 01.01.2019 17:45","0","0","0","4219","3954","2114","35132","34977","19203"
"01.01.2019 17:45 - 01.01.2019 18:00","0","0","0","4159","3944","2148","35348","35107","19231"
"01.01.2019 18:00 - 01.01.2019 18:15","0","0","0","4121","3940","2165","35524","35234","19250"
"01.01.2019 18:15 - 01.01.2019 18:30","0","0","0","4098","3926","2096","35690","35342","19420"
"01.01.2019 18:30 - 01.01.2019 18:45","0","0","0","4075","3912","2076","35864","35456","19263"
"01.01.2019 18:45 - 01.01.2019 19:00","0","0","0","4051","3900","2121","36032","35586","19295"
"01.01.2019 19:00 - 01.01.2019 19:15","0","0","0","4031","3888","2150","36194","35708","19271"
"01.01.2019 19:15 - 01.01.2019 19:30","0","0","0","4012","3878","1988","36261","35784","19416"
"01.01.2019 19:30 - 01.01.2019 19:45","0","0","0","4013","3867","2042","36285","35866","19407"
"01.01.2019 19:45 - 01.01.2019 20:00","0","0","0","3986","3860","2091","36331","35952","19107"
"01.01.2019 20:00 - 01.01.2019 20:15","0","0","0","3960","3855","2033","36368","36038","19197"
"01.01.2019 20:15 - 01.01.2019 20:30","0","0","0","3937","3843","1980","36393","36105","19248"
"01.01.2019 20:30 - 01.01.2019 20:45","0","0","0","3915","3829","2051","36441","36174","19298"
"01.01.2019 20:45 - 01.01.2019 21:00","0","0","0","3887","3815","2017","36517","36227","19398"
"01.01.2019 21:00 - 01.01.2019 21:15","0","0","0","3867","3800","2014","36574","36269","19345"
"01.01.2019 21:15 - 01.01.2019 21:30","0","0","0","3864","3794","1980","36556","36266","19369"
"01.01.2019 21:30 - 01.01.2019 21:45","0","0","0","3860","3792","2047","36541","36257","19064"
"01.01.2019 21:45 - 01.01.2019 22:00","0","0","0","3847","3787","2037","36588","36221","18903"
"01.01.2019 22:00 - 01.01.2019 22:15","0","0","0","3891","3785","2086","36054","35516","18581"
"01.01.2019 22:15 - 01.01.2019 22:30","0","0","0","3910","3793","2013","35957","35429","18716"
"01.01.2019 22:30 - 01.01.2019 22:45","0","0","0","3931","3796","2058","35847","35355","18740"
"01.01.2019 22:45 - 01.01.2019 23:00","0","0","0","3954","3798","2092","35768","35258","18473"
"01.01.2019 23:00 - 01.01.2019 23:15","0","0","0","3970","3807","2118","35662","35142","18519"
"01.01.2019 23:15 - 01.01.2019 23:30","0","0","0","3994","3800","2063","35576","34981","18765"
"01.01.2019 23:30 - 01.01.2019 23:45","0","0","0","4016","3811","2070","35481","34835","18890"
"01.01.2019 23:45 - 02.01.2019 00:00","0","0","0","4023","3817","2119","35390","34707","18690"
"02.01.2019 00:00 - 02.01.2019 00:15","0","0","0","4150","3010","2018","34306","33257","18734"
"02.01.2019 00:15 - 02.01.2019 00:30","0","0","0","4173","3034","2041","34221","32955","18603"
"02.01.2019 00:30 - 02.01.2019 00:45","0","0","0","4197","2855","1861","34131","32621","18368"
"02.01.2019 00:45 - 02.01.2019 01:00","0","0","0","4223","2898","1904","34111","32156","18142"
"02.01.2019 01:00 - 02.01.2019 01:15","0","0","0","4252","2912","1918","34073","31625","17778"
"02.01.2019 01:15 - 02.01.2019 01:30","0","0","0","4277","2849","1852","33994","31509","17709"
"02.01.2019 01:30 - 02.01.2019 01:45","0","0","0","4304","2900","1902","33919","31161","17440"
"02.01.2019 01:45 - 02.01.2019 02:00","0","0","0","4326","2999","2001","33842","30892","17200"
"02.01.2019 02:00 - 02.01.2019 02:15","0","0","0","4353","3190","2191","33846","30579","17083"
"02.01.2019 02:15 - 02.01.2019 02:30","0","0","0","4391","3249","2286","33721","30615","17194"
"02.01.2019 02:30 - 02.01.2019 02:45","0","0","0","4427","3330","2365","33603","30486","17131"
"02.01.2019 02:45 - 02.01.2019 03:00","0","0","0","4462","3551","2583","33465","30093","16961"
"02.01.2019 03:00 - 02.01.2019 03:15","0","0","0","4505","3621","2651","33320","29928","16794"
"02.01.2019 03:15 - 02.01.2019 03:30","0","0","0","4543","3916","2943","33148","29790","16638"
"02.01.2019 03:30 - 02.01.2019 03:45","0","0","0","4584","4062","3087","32980","29616","16451"
"02.01.2019 03:45 - 02.01.2019 04:00","0","0","0","4623","4190","3212","32801","29686","16534"
"02.01.2019 04:00 - 02.01.2019 04:15","0","0","0","4658","4232","3251","32632","29570","16429"
"02.01.2019 04:15 - 02.01.2019 04:30","0","0","0","4692","4317","3333","32491","29535","16387"
"02.01.2019 04:30 - 02.01.2019 04:45","0","0","0","4729","4360","3373","32341","29411","16260"
"02.01.2019 04:45 - 02.01.2019 05:00","0","0","0","4765","4406","3415","32122","29301","16184"
"02.01.2019 05:00 - 02.01.2019 05:15","0","0","0","4793","4441","3447","31898","29236","16153"
