"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2019 00:00 - 01.01.2019 00:15","44216","44383"
"01.01.2019 00:15 - 01.01.2019 00:30","44008","43911"
"01.01.2019 00:30 - 01.01.2019 00:45","43454","43397"
"01.01.2019 00:45 - 01.01.2019 01:00","42912","43163"
"01.01.2019 01:00 - 01.01.2019 01:15","42397","42837"
"01.01.2019 01:15 - 01.01.2019 01:30","41899","42345"
"01.01.2019 01:30 - 01.01.2019 01:45","41373","41866"
"01.01.2019 01:45 - 01.01.2019 02:00","41101","41316"
"01.01.2019 02:00 - 01.01.2019 02:15","40788","41012"
"01.01.2019 02:15 - 01.01.2019 02:30","40558","40631"
"01.01.2019 02:30 - 01.01.2019 02:45","40519","40355"
"01.01.2019 02:45 - 01.01.2019 03:00","40485","40150"
"01.01.2019 03:00 - 01.01.2019 03:15","40307","39990"
"01.01.2019 03:15 - 01.01.2019 03:30","40266","39664"
"01.01.2019 03:30 - 01.01.2019 03:45","40336","39635"
"01.01.2019 03:45 - 01.01.2019 04:00","40324","39614"
"01.01.2019 04:00 - 01.01.2019 04:15","40479","39612"
"01.01.2019 04:15 - 01.01.2019 04:30","40636","39546"
"01.01.2019 04:30 - 01.01.2019 04:45","40728","39502"
"01.01.2019 04:45 - 01.01.2019 05:00","40795","39348"
"01.01.2019 05:00 - 01.01.2019 05:15","41065","39368"
"01.01.2019 05:15 - 01.01.2019 05:30","40897","39088"
"01.01.2019 05:30 - 01.01.2019 05:45","40954","39011"
"01.01.2019 05:45 - 01.01.2019 06:00","40875","38699"
"01.01.2019 06:00 - 01.01.2019 06:15","40397","38351"
"01.01.2019 06:15 - 01.01.2019 06:30","40701","38366"
"01.01.2019 06:30 - 01.01.2019 06:45","40945","38534"
"01.01.2019 06:45 - 01.01.2019 07:00","41257","38873"
"01.01.2019 07:00 - 01.01.2019 07:15","41920","39010"
"01.01.2019 07:15 - 01.01.2019 07:30","42271","39238"
"01.01.2019 07:30 - 01.01.2019 07:45","43765","39299"
"01.01.2019 07:45 - 01.01.2019 08:00","44619","39641"
"01.01.2019 08:00 - 01.01.2019 08:15","45847","39703"
"01.01.2019 08:15 - 01.01.2019 08:30","45916","39849"
"01.01.2019 08:30 - 01.01.2019 08:45","46377","40272"
"01.01.2019 08:45 - 01.01.2019 09:00","46924","40658"
"01.01.2019 09:00 - 01.01.2019 09:15","48168","41600"
"01.01.2019 09:15 - 01.01.2019 09:30","49107","42277"
"01.01.2019 09:30 - 01.01.2019 09:45","49597","43072"
"01.01.2019 09:45 - 01.01.2019 10:00","49917","43718"
"01.01.2019 10:00 - 01.01.2019 10:15","50480","44486"
"01.01.2019 10:15 - 01.01.2019 10:30","51111","45089"
"01.01.2019 10:30 - 01.01.2019 10:45","51325","45708"
"01.01.2019 10:45 - 01.01.2019 11:00","52160","46219"
"01.01.2019 11:00 - 01.01.2019 11:15","52556","47271"
"01.01.2019 11:15 - 01.01.2019 11:30","53232","48071"
"01.01.2019 11:30 - 01.01.2019 11:45","53971","48769"
